"Current Stock Branchwise 
 Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
BRANDS,DEPARTMENT,CATEGORY,Item code,Item alias,Store ID,Item name,Batch no,Stock,Code,Cost,Selling,MRP,Landing,Net cost,Value on landing,Value on netcost,Value on selling,GST Perc,Expiry date,Supplier Name,Business Type,Status,HSN Code,Unicode,ERP code,Old Batch No,Old Expiry Date,Old MFR Date,Received Qty,Asset stock,Consumable stock,Conversion Factor,Damage,Demo stock,ISBN,Brand code,Brand name,Mfg Date,Qty in CLD,Qty in PCs,Rental stock,Replacement stock,Reserve,State,Store
,,,,,,,,"65,808",,,,"4,642,449.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedigree,Dog Food,Dry Food ,1,,225,Pedigree Puppy Chicken and Milk 10KG, ,1,32679,"1,581.21","2,239.00","2,239.00","1,581.21","1,581.21","1,581.21","1,581.21","2,239.00",18.00,2027-06-30,Jay Projects,DISTRIBUTION CENTER,Active,23091000,0,urbanpets,P1-594,2027-06-30,,1,0,0,0.00,0,0,8906002485031,164,Pedigree,,0.00,1.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Pedigree,Dog Food,Dry Food ,16,,225,Pedigree Pro Active Adult 3KG, ,2,32710,763.58,"1,220.00","1,220.00",901.03,763.58,"1,802.05","1,527.16","2,440.00",18.00,2026-06-14,Shreeji Pet Shop,DISTRIBUTION CENTER,Inactive,23091000,,urbanpets,P16-8667,2026-06-14,,2,0,0,0.00,0,0,,164,Pedigree,,0.00,2.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Pedigree,Dog Food,Dry Food ,17,,225,Pedigree Pro Active Adult 20KG, ,1,32679,"4,404.66","6,930.00","6,930.00","4,404.66","4,338.05","4,404.66","4,338.05","6,930.00",18.00,2027-07-15,Jay Projects,DISTRIBUTION CENTER,Active,23091000,0,urbanpets,P17-1013,2027-07-15,,1,0,0,0.00,0,0,,164,Pedigree,,0.00,1.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Pedigree,Dog Food,Dry Food ,25,,225,Pedigree Adult Meat and Rice 10KG, ,1,32679,"1,518.36","2,150.00","2,150.00","1,518.36","1,434.89","1,518.36","1,434.89","2,150.00",18.00,2027-05-16,Jay Projects,DISTRIBUTION CENTER,Active,23091000,0,urbanpets,P25-260,2027-05-16,,1,0,0,0.00,0,0,8906002487769,164,Pedigree,,0.00,1.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Pedigree,Dog Food,Dry Food ,25,,225,Pedigree Adult Meat and Rice 10KG, ,1,32679,"1,518.36","2,150.00","2,150.00","1,691.96","1,433.87","1,691.96","1,433.87","2,150.00",18.00,2028-05-30,Jay Projects,DISTRIBUTION CENTER,Active,23091000,0,urbanpets,P25-8046,2028-05-30,,1,0,0,0.00,0,0,8906002487769,164,Pedigree,,0.00,1.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Pedigree,Dog Food,Dry Food ,39,,225,Pedigree Puppy Chicken and Milk 20KG, ,2,32679,"2,779.66","4,100.00","4,100.00","2,779.66","2,736.88","5,559.32","5,473.76","8,200.00",18.00,2027-12-30,Jay Projects,DISTRIBUTION CENTER,Active,23091000,0,urbanpets,P39-9425,2027-12-30,,2,0,0,0.00,0,0,8906002482719,164,Pedigree,,0.00,2.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
M-Pets,Accessories,Others ,71,,225,M-Pets Dog Waste Bags Lemon 4x15 bags, ,1,32710,105.93,250.00,250.00,105.93,105.93,105.93,105.93,250.00,18.00,,Shreeji Pet Shop,DISTRIBUTION CENTER,Active,39269099,0,urbanpets,M71-155,,,2,0,0,0.00,0,0,5415341002852,125,M-Pets,,0.00,1.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Manufacturer,Accessories,Cage & Crates,262,,225,Metal Cage 24 Inch, ,1,32850,"1,228.81","2,900.00","2,900.00","1,450.00","1,228.81","1,450.00","1,228.81","2,900.00",18.00,,MAHIMA ENTERPRISE,DISTRIBUTION CENTER,Active,73262090,,urbanpets,C262-4171,,,1,0,0,0.00,0,0,0000000262,1,Manufacturer,,0.00,1.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
