"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN",,,,,,,,,,,,,
"Stock - Categorywise - FastMoving - Item 
 DATE : from 01-04-2024 11-09-2026 ; Location : All Location ; 
",,,,,,,,,,,,,
Item name,BRANDS,DEPARTMENT,CATEGORY,Item code,Branch,Total sold qty.,Item amount,Current stock,Branch ID,Alias Name,EAN code,Business Type,State
Grand Total,,,,,,"792,541","237,693,48","65,949",,,,,
Drools Adult Gravy 150GM,,,,,,"46,159","1,347,235.0","7,865",,,,,
,Drools,Dog Food,Wet Food ,7020,URBAN PETS / MOTERA,"46,159","1,347,235.02","7,865",32772,,8906043149145,BRANCH,Gujarat
Pedigree Adult Chicken and Liver Gravy 70G,,,,,,"37,714","1,531,197.6","1,459",,,,,
,Pedigree,Dog Food,Wet Food ,6741,URBAN PETS / MOTERA,"37,714","1,531,197.64","1,459",32772,,8853301530743,BRANCH,Gujarat
Pedigree Puppy Chicken And Liver Gravy 70Gm,,,,,,"16,115","626,243.18","1,559",,,,,
,Pedigree,Dog Food,Wet Food ,7302,URBAN PETS / MOTERA,"16,115","626,243.18","1,559",32772,,8853301530750,BRANCH,Gujarat
Drools Adult Gravy 150GM,,,,,,"12,895","411,334.32",61,,,,,
,Drools,Dog Food,Wet Food ,7020,URBANPETS SERVICES PRIVATE LIMITED,"12,895","411,334.32",61,225,,8906043149145,DISTRIBUTION CENTER,Gujarat
Amobest 375 Tab,,,,,,"12,639","221,491.51",435,,,,,
,Petbest,Medicine & Supplements ,Medicine ,10863,URBANPETS SERVICES PRIVATE LIMITED,"12,639","221,491.51",435,225,,8904054600280,DISTRIBUTION CENTER,Gujarat
Hepatate Tab,,,,,,"10,523","119,764.90",351,,,,,
,other,Medicine & Supplements ,Medicine ,10392,URBANPETS SERVICES PRIVATE LIMITED,"10,523","119,764.90",351,225,,,DISTRIBUTION CENTER,Gujarat
Sava Kiwof Plus For Dog,,,,,,"9,947","301,202.00","1,175",,,,,
,Sava Vet ,Medicine & Supplements ,Medicine ,7860,URBANPETS SERVICES PRIVATE LIMITED,"9,947","301,202.00","1,175",225,,8905045002649,DISTRIBUTION CENTER,Gujarat
Pedigree Adult Chicken and Liver Gravy 130G,,,,,,"9,702","502,732.30",2,,,,,
,Pedigree,Dog Food,Wet Food ,11036,URBAN PETS / MOTERA,"9,702","502,732.30",2,32772,,8853301013307,BRANCH,Gujarat
Maxi Adult Dog 500gm,,,,,,"9,183","529,124.40",139,,,,,
,Maxi,Dog Food,Dry Food ,11062,URBAN PETS / MOTERA,"9,183","529,124.40",139,32772,,8906125481484,BRANCH,Gujarat
Whiskas Tuna kitten 80Gm,,,,,,"8,549","468,735.21",911,,,,,
,Whiskas,Cat Food,Wet Food ,6765,URBAN PETS / MOTERA,"8,549","468,735.21",911,32772,,8853301016025,BRANCH,Gujarat
Drools Puppy Gravy 150GM,,,,,,"8,295","255,886.00",134,,,,,
,Drools,Dog Food,Wet Food ,7014,URBAN PETS / MOTERA,"8,295","255,886.00",134,32772,,8906043149152,BRANCH,Gujarat
JerHigh Gravy Chicken Vegetable 120G,,,,,,"8,154","457,778.06",275,,,,,
,JerHigh,Dog Food,Wet Food ,7655,URBAN PETS / MOTERA,"8,154","457,778.06",275,32772,,8851759961140,BRANCH,Gujarat
Pedigree Adult Chicken and Liver Gravy 70G,,,,,,"7,879","310,280.53",173,,,,,
,Pedigree,Dog Food,Wet Food ,6741,URBANPETS SERVICES PRIVATE LIMITED,"7,879","310,280.53",173,225,,8853301530743,DISTRIBUTION CENTER,Gujarat
JerHigh Gravy Chicken Liver 120G,,,,,,"7,500","432,282.65",233,,,,,
,JerHigh,Dog Food,Wet Food ,7656,URBAN PETS / MOTERA,"7,500","432,282.65",233,32772,,8851759961102,BRANCH,Gujarat
Maxi Adult 20KG,,,,,,"7,353","14,714,907.",29,,,,,
,Maxi,Dog Food,Dry Food ,7287,URBANPETS SERVICES PRIVATE LIMITED,"7,353","14,714,907.69",29,225,,8906043146373,DISTRIBUTION CENTER,Gujarat
Doxy Pet 200 mg,,,,,,"6,672","74,160.04",361,,,,,
,Manufacturer,Medicine & Supplements ,Medicine ,2759,URBANPETS SERVICES PRIVATE LIMITED,"6,672","74,160.04",361,225,,,DISTRIBUTION CENTER,Gujarat
Sava Kiwof Plus For Dog,,,,,,"6,513","267,422.01",104,,,,,
,Sava Vet ,Medicine & Supplements ,Medicine ,7860,URBAN PETS / MOTERA,"6,513","267,422.01",104,32772,,8905045002649,BRANCH,Gujarat
Whiskas Chicken adult Gravy 80Gm,,,,,,"6,295","261,632.17","1,036",,,,,
,Whiskas,Cat Food,Wet Food ,6772,URBAN PETS / MOTERA,"6,295","261,632.17","1,036",32772,,8853301015936,BRANCH,Gujarat
Whiskas Chicken kitten Gravy  80Gm,,,,,,"6,230","221,813.15",435,,,,,
,Whiskas,Cat Food,Wet Food ,844,URBAN PETS / MOTERA,"6,230","221,813.15",435,32772,,8853301015981,BRANCH,Gujarat
Maxi Adult 20KG,,,,,,"5,993","12,807,567.",133,,,,,
,Maxi,Dog Food,Dry Food ,7287,URBAN PETS / MOTERA,"5,993","12,807,567.13",133,32772,,8906043146373,BRANCH,Gujarat
JerHigh Gravy Chicken Grilled 120G,,,,,,"5,872","347,049.26",428,,,,,
,JerHigh,Dog Food,Wet Food ,7657,URBAN PETS / MOTERA,"5,872","347,049.26",428,32772,,8851759961133,BRANCH,Gujarat
Megmazid 600 MG Tab,,,,,,"5,723","206,409.61",265,,,,,
,other,Medicine & Supplements ,Medicine ,10393,URBANPETS SERVICES PRIVATE LIMITED,"5,723","206,409.61",265,225,,,DISTRIBUTION CENTER,Gujarat
Jerhigh Gravy Rosted Duck 120G,,,,,,"5,638","330,690.46",335,,,,,
,JerHigh,Dog Food,Wet Food ,7652,URBAN PETS / MOTERA,"5,638","330,690.46",335,32772,,8851759961157,BRANCH,Gujarat
Whiskas Chicken adult Gravy 80Gm,,,,,,"5,086","228,087.65",107,,,,,
,Whiskas,Cat Food,Wet Food ,6772,URBANPETS SERVICES PRIVATE LIMITED,"5,086","228,087.65",107,225,,8853301015936,DISTRIBUTION CENTER,Gujarat
TTK NEPOCEF CV 325 Tablet,,,,,,"5,027","141,145.08",763,,,,,
,TTK,Medicine & Supplements ,Medicine ,3021,URBANPETS SERVICES PRIVATE LIMITED,"5,027","141,145.08",763,225,,,DISTRIBUTION CENTER,Gujarat
Vivaldis PIMOBEN 5/10,,,,,,"4,654","2,341,454.6",201,,,,,
,Shreeji Pet Shop,Medicine & Supplements ,Medicine ,3014,URBANPETS SERVICES PRIVATE LIMITED,"4,654","2,341,454.61",201,225,,8908017864801,DISTRIBUTION CENTER,Gujarat
Whiskas Salmon adult Gravy 80Gm,,,,,,"4,532","182,813.37",326,,,,,
,Whiskas,Cat Food,Wet Food ,6770,URBAN PETS / MOTERA,"4,532","182,813.37",326,32772,,8853301015868,BRANCH,Gujarat
Me-O Kitten Tuna Gravy 80G,,,,,,"4,349","149,734.33",0,,,,,
,ME-O,Cat Food,Wet Food ,6782,URBAN PETS / MOTERA,"4,349","149,734.33",0,32772,,8850477019751,BRANCH,Gujarat
Whiskas Tuna adult Jelly 80Gm,,,,,,"4,191","167,088.38",302,,,,,
,Whiskas,Cat Food,Wet Food ,6762,URBAN PETS / MOTERA,"4,191","167,088.38",302,32772,,88853301015912,BRANCH,Gujarat
Doggy Ji Biscuits,,,,,,"4,187","38,808.26",783,,,,,
,Doggy Ji,"Treats, Biscuits & Chews ",Biscuits ,11879,URBAN PETS / MOTERA,"4,187","38,808.26",783,32772,,8939116989812,BRANCH,Gujarat
Whiskas Tuna adult Jelly 80Gm,,,,,,"4,149","164,061.18",151,,,,,
,Whiskas,Cat Food,Wet Food ,6762,URBANPETS SERVICES PRIVATE LIMITED,"4,149","164,061.18",151,225,,88853301015912,DISTRIBUTION CENTER,Gujarat
Sheba Tuna Pumpkin and Carrot Garvy 70gm,,,,,,"3,991","221,854.79",259,,,,,
,Sheba,Cat Food,Wet Food ,6855,URBAN PETS / MOTERA,"3,991","221,854.79",259,32772,,8853301003223,BRANCH,Gujarat
Drools Puppy Gravy 150GM,,,,,,"3,687","117,649.37",69,,,,,
,Drools,Dog Food,Wet Food ,7014,URBANPETS SERVICES PRIVATE LIMITED,"3,687","117,649.37",69,225,,8906043149152,DISTRIBUTION CENTER,Gujarat
Entero Cronic Sachet,,,,,,"3,634","224,239.09",484,,,,,
,Hygiene,Medicine & Supplements ,Medicine ,2921,URBANPETS SERVICES PRIVATE LIMITED,"3,634","224,239.09",484,225,,8430336091083,DISTRIBUTION CENTER,Gujarat
Hunger Tail Daily Munch 500gm,,,,,,"3,614","179,708.84",80,,,,,
,Hunger Tail,Dog Food,Dry Food ,11432,URBAN PETS / MOTERA,"3,614","179,708.84",80,32772,,8908024446199,BRANCH,Gujarat
Pedigree Puppy Chicken and Liver Gravy 130G,,,,,,"3,604","174,816.17",603,,,,,
,Pedigree,Dog Food,Wet Food ,11037,URBAN PETS / MOTERA,"3,604","174,816.17",603,32772,,8853301013345,BRANCH,Gujarat
Whiskas Tasty Mix Seafood Cocktail Wakame Seaweed Gravy 70g,,,,,,"3,490","133,077.05",86,,,,,
,Whiskas,Cat Food,Wet Food ,6778,URBAN PETS / MOTERA,"3,490","133,077.05",86,32772,,8853301004954,BRANCH,Gujarat
Doggy Ji Biscuits,,,,,,"3,483","32,245.24",469,,,,,
,Doggy Ji,"Treats, Biscuits & Chews ",Biscuits ,11879,URBANPETS SERVICES PRIVATE LIMITED,"3,483","32,245.24",469,225,,8939116989812,DISTRIBUTION CENTER,Gujarat
Pedigree Adult Chicken and Liver Gravy 130G,,,,,,"3,453","179,988.57",53,,,,,
,Pedigree,Dog Food,Wet Food ,11036,URBANPETS SERVICES PRIVATE LIMITED,"3,453","179,988.57",53,225,,8853301013307,DISTRIBUTION CENTER,Gujarat
VIRBAC IPRAZ TABLET,,,,,,"3,380","322,341.88",242,,,,,
,Hygiene,Medicine & Supplements ,Medicine ,2914,URBANPETS SERVICES PRIVATE LIMITED,"3,380","322,341.88",242,225,,,DISTRIBUTION CENTER,Gujarat
INTAS NEOMEC 10 MG TABLET,,,,,,"3,359","32,559.92",482,,,,,
,Manufacturer,Medicine & Supplements ,Medicine ,2871,URBANPETS SERVICES PRIVATE LIMITED,"3,359","32,559.92",482,225,,,DISTRIBUTION CENTER,Gujarat
Vivaldis Synfosium Capsule (1X),,,,,,"3,221","97,554.56",363,,,,,
,Vivaldis,Medicine & Supplements ,Medicine ,2973,URBANPETS SERVICES PRIVATE LIMITED,"3,221","97,554.56",363,225,,,DISTRIBUTION CENTER,Gujarat
felix jelly tuna adult 85gm,,,,,,"3,119","129,224.88",389,,,,,
,Purina,Cat Food,Wet Food ,6657,URBAN PETS / MOTERA,"3,119","129,224.88",389,32772,,8850011072488,BRANCH,Gujarat
NEPOCEF- CV 162.5 Tabs.  5X10s,,,,,,"3,089","52,843.45","1,059",,,,,
,NEPOCEF,Medicine & Supplements ,Medicine ,3073,URBANPETS SERVICES PRIVATE LIMITED,"3,089","52,843.45","1,059",225,,,DISTRIBUTION CENTER,Gujarat
Sheba Tuna With Chicken Gravy 70GM,,,,,,"3,071","174,086.50",190,,,,,
,Sheba,Cat Food,Wet Food ,6854,URBAN PETS / MOTERA,"3,071","174,086.50",190,32772,,8853301003254,BRANCH,Gujarat
Vivaldis Vet Thyro 0.6 10,,,,,,"3,057","298,968.56",55,,,,,
,Vivaldis,Medicine & Supplements ,Medicine ,2974,URBANPETS SERVICES PRIVATE LIMITED,"3,057","298,968.56",55,225,,,DISTRIBUTION CENTER,Gujarat
Moochie Gravy Healthy Growth 85g,,,,,,"3,026","122,651.96",286,,,,,
,Moochie,Dog Food,Wet Food ,10169,URBAN PETS / MOTERA,"3,026","122,651.96",286,32772,,8857127462585,BRANCH,Gujarat
Felix jelly salmon adult 85gm,,,,,,"3,025","134,418.47",147,,,,,
,Felix ,Cat Food,Wet Food ,9823,URBAN PETS / MOTERA,"3,025","134,418.47",147,32772,,8850011072457,BRANCH,Gujarat
Sheba Skip Salmon Gravy 35 Gm,,,,,,"2,857","102,811.57",70,,,,,
,Sheba,Cat Food,Wet Food ,6849,URBAN PETS / MOTERA,"2,857","102,811.57",70,32772,,4902397848028,BRANCH,Gujarat
Whiskas Tasty Mix Tuna Kanikama Carrot Gravy 70g,,,,,,"2,853","117,118.87",423,,,,,
,Whiskas,Cat Food,Wet Food ,6779,URBAN PETS / MOTERA,"2,853","117,118.87",423,32772,,8853301005036,BRANCH,Gujarat
Pedigree Puppy Chicken And Liver Gravy 70Gm,,,,,,"2,832","110,366.71",155,,,,,
,Pedigree,Dog Food,Wet Food ,7302,URBANPETS SERVICES PRIVATE LIMITED,"2,832","110,366.71",155,225,,8853301530750,DISTRIBUTION CENTER,Gujarat
Chip Chops Chicken Tenders 250g,,,,,,"2,809","1,471,713.0",144,,,,,
,Chip Chops,"Treats, Biscuits & Chews ",Treats  ,7373,URBAN PETS / MOTERA,"2,809","1,471,713.04",144,32772,,6921959208795,BRANCH,Gujarat
Jerhigh Gravy Rosted Duck 120G,,,,,,"2,563","149,448.43",30,,,,,
,JerHigh,Dog Food,Wet Food ,7652,URBANPETS SERVICES PRIVATE LIMITED,"2,563","149,448.43",30,225,,8851759961157,DISTRIBUTION CENTER,Gujarat
Felix jelly Chicken adult 85 g,,,,,,"2,518","103,049.48",230,,,,,
,Felix ,Cat Food,Wet Food ,9824,URBAN PETS / MOTERA,"2,518","103,049.48",230,32772,,8850011072426,BRANCH,Gujarat
SH Gravy Roasted Duck 80 gm,,,,,,"2,476","84,651.60",0,,,,,
,Smart Heart,Dog Food,Wet Food ,6990,URBAN PETS / MOTERA,"2,476","84,651.60",0,32772,,8850477025226,BRANCH,Gujarat
Doxy Pet 100 mg,,,,,,"2,440","22,054.12",351,,,,,
,Sava Vet ,Medicine & Supplements ,Medicine ,2815,URBANPETS SERVICES PRIVATE LIMITED,"2,440","22,054.12",351,225,,,DISTRIBUTION CENTER,Gujarat
Moochie Gravy Boost Immune 85g,,,,,,"2,438","97,980.29",196,,,,,
,Moochie,Dog Food,Wet Food ,2215,URBAN PETS / MOTERA,"2,438","97,980.29",196,32772,,8857127462608,BRANCH,Gujarat
felix jelly chicken kitten 85gm,,,,,,"2,408","102,088.39",314,,,,,
,Purina,Cat Food,Wet Food ,6656,URBAN PETS / MOTERA,"2,408","102,088.39",314,32772,,8850011072549,BRANCH,Gujarat
TTK Melobest Pet Tablet - 10s,,,,,,"2,386","19,384.54",363,,,,,
,Companion Pets,Medicine & Supplements ,Medicine ,3001,URBANPETS SERVICES PRIVATE LIMITED,"2,386","19,384.54",363,225,,,DISTRIBUTION CENTER,Gujarat
Amoxirium Forte Injection 300mg,,,,,,"2,330","113,325.67",144,,,,,
,Hygiene,Medicine & Supplements ,Medicine ,2915,URBANPETS SERVICES PRIVATE LIMITED,"2,330","113,325.67",144,225,,,DISTRIBUTION CENTER,Gujarat
Maxi Cat Food 500gm,,,,,,"2,312","175,857.61",323,,,,,
,Maxi,Cat Food,Dry Food ,11063,URBAN PETS / MOTERA,"2,312","175,857.61",323,32772,,,BRANCH,Gujarat
Whiskas Tasty Mix Chicken Tuna Carrot Gravy 70gm,,,,,,"2,281","91,667.29",229,,,,,
,Whiskas,Cat Food,Wet Food ,6776,URBAN PETS / MOTERA,"2,281","91,667.29",229,32772,,8853301004916,BRANCH,Gujarat
Drools Veg 20KG,,,,,,"2,261","5,598,827.5",35,,,,,
,Drools,Dog Food,Veg Food ,11361,URBANPETS SERVICES PRIVATE LIMITED,"2,261","5,598,827.50",35,225,,,DISTRIBUTION CENTER,Gujarat
