"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN",,,,,,,,,,,
"Stock - Categorywise - SlowMoving - Item 
 DATE : from 01-04-2024 11-09-2026 ; Location : All Location ; 
",,,,,,,,,,,
Item name,BRANDS,DEPARTMENT,CATEGORY,Branch,Item code,Total sold qty.,Item amount,Current stock,Branch ID,Business Type,State
Grand Total,,,,,,"793,130","238,219,523","66,053",,,
Premium Adjustable Lead XS- S 2.00m/15 mm Black,,,,,,2,"1,324.59",1,,,
,Trixie,Walk Essentials,Leash,URBAN PETS / MOTERA,11219,1,845.75,0,32772,BRANCH,Gujarat
,Trixie,Walk Essentials,Leash,URBANPETS SERVICES PRIVATE LIMITED,11219,1,478.84,1,225,DISTRIBUTION CENTER,Gujarat
Dog socks non slip with all round rubber coating L - Xl 2 pcs Black,,,,,,1,563.74,1,,,
,Trixie,Accessories,Shoes & Socks,URBANPETS SERVICES PRIVATE LIMITED,11216,1,563.74,1,225,DISTRIBUTION CENTER,Gujarat
TrueLove Pet Boots - Orange  No. 8,,,,,,1,"2,079.20",0,,,
,True Love,Accessories,Shoes & Socks,URBANPETS SERVICES PRIVATE LIMITED,11208,1,"2,079.20",0,225,DISTRIBUTION CENTER,Gujarat
Zippy Paws Jigglerz - Raccoon,,,,,,1,828.75,0,,,
,Zippy Paws,Toys,Toys,URBAN PETS / MOTERA,11201,1,828.75,0,32772,BRANCH,Gujarat
Zippy Paws Jigglerz - Banana,,,,,,1,828.75,0,,,
,Zippy Paws,Toys,Toys,URBAN PETS / MOTERA,11200,1,828.75,0,32772,BRANCH,Gujarat
Fofos Flexy Ball Ultra Bounce Toy - M,,,,,,1,432.00,0,,,
,Fofos,Toys,Toys,URBANPETS SERVICES PRIVATE LIMITED,11184,1,432.00,0,225,DISTRIBUTION CENTER,Gujarat
Fofos Fruity Bites Silence - Strawberry,,,,,,1,479.20,0,,,
,Fofos,Toys,Toys,URBANPETS SERVICES PRIVATE LIMITED,11173,1,479.20,0,225,DISTRIBUTION CENTER,Gujarat
Healthy TRats Skin and coat For Dogs and puppies 70 gm,,,,,,1,0.04,0,,,
,ABK,"Treats, Biscuits & Chews ",Treats  ,URBANPETS SERVICES PRIVATE LIMITED,11163,1,0.04,0,225,DISTRIBUTION CENTER,Gujarat
Healthy TreatsJoint and HIp for Dogs and puppies 70Gm,,,,,,1,0.04,0,,,
,ABK,"Treats, Biscuits & Chews ",Treats  ,URBANPETS SERVICES PRIVATE LIMITED,11162,1,0.04,0,225,DISTRIBUTION CENTER,Gujarat
Lozalo Body Splash Ocean 200ml,,,,,,1,279.20,4,,,
,Lozalo,Grooming,Cream & Spray ,URBANPETS SERVICES PRIVATE LIMITED,11279,1,279.20,4,225,DISTRIBUTION CENTER,Gujarat
Wahl KM Inspire  Trimmer Standard,,,,,,1,"13,499.25",4,,,
,Wahl,Accessories,Trimmer & Nail Cutter ,URBAN PETS / MOTERA,11277,1,"13,499.25",4,32772,BRANCH,Gujarat
Dermoscent Atop 7 shampoo,,,,,,1,"1,440.00",0,,,
,Sava Vet ,Medicine & Supplements ,Medicine ,URBAN PETS / MOTERA,11276,1,"1,440.00",0,32772,BRANCH,Gujarat
Vetrina Hemeliv 200ml,,,,,,1,238.00,0,,,
,Vetrina,Medicine & Supplements ,Medicine ,URBAN PETS / MOTERA,11320,1,238.00,0,32772,BRANCH,Gujarat
Haasbro Play-Doh Squeak and Crinkle Small Octopus - Blue/Red,,,,,,1,760.75,0,,,
,Hasbro,Toys,Toys,URBANPETS SERVICES PRIVATE LIMITED,11315,1,760.75,0,225,DISTRIBUTION CENTER,Gujarat
Puppy Torando Interactive Treat Pink,,,,,,1,"1,743.75",0,,,
,Outward Hound ,Toys,Toys,URBAN PETS / MOTERA,11304,1,"1,743.75",0,32772,BRANCH,Gujarat
Twistiez Monster Blue Large,,,,,,1,820.00,0,,,
,Outward Hound ,Toys,Toys,URBANPETS SERVICES PRIVATE LIMITED,11303,1,820.00,0,225,DISTRIBUTION CENTER,Gujarat
Trixie Stick Thermoplatic Rubber,,,,,,1,505.75,0,,,
,Trixie,Toys,Toys,URBANPETS SERVICES PRIVATE LIMITED,11299,1,505.75,0,225,DISTRIBUTION CENTER,Gujarat
