"TransferOut Summary 
 DATE : from 01-04-2024 11-09-2026 ; Stock Class : Trade , Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
Branch ID,Transfer from,Branch prefix,Transfer to,Transfer out date,Branch No,Transfer out No,Total amount,Total Qty,Stock class,Stock quality,Status,Remarks,Message,E-Invoice IRN,E-Invoice Status
,,,,,,,"55,388,182.","150,681",,,,,,,
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-02,245,245,"24,553.07",20,1,Normal,Transfer In completed,pr,.,,Pending
225,URBANPETS SERVICES PRIVATE LIMITED,LN,SHREEJI PET SHOP - MOTERA,2024-04-02,245,245,"2,161.02",1,1,Normal,Transfer In completed,dinesh ,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-03,246,246,"13,172.03",11,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-03,247,247,671.39,2,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-03,248,248,"5,611.45",6,1,Normal,Transfer In completed,.,.,,Pending
225,URBANPETS SERVICES PRIVATE LIMITED,LN,SHREEJI PET SHOP - MOTERA,2024-04-03,246,246,"2,133.24",11,1,Normal,Transfer In completed,.,.,,Pending
225,URBANPETS SERVICES PRIVATE LIMITED,LN,SHREEJI PET SHOP - MOTERA,2024-04-03,247,247,"3,407.00",100,1,Normal,Transfer In completed,dinesh,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-04,249,249,"1,367.12",1,1,Normal,Transfer In completed,.,.,,Pending
225,URBANPETS SERVICES PRIVATE LIMITED,LN,SHREEJI PET SHOP - MOTERA,2024-04-04,248,248,"2,411.10",4,1,Normal,Transfer In completed,dinesh ,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-05,250,250,"1,165.52",28,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-05,251,251,"2,733.84",72,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-05,252,252,"3,046.30",6,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-05,253,253,"2,471.19",1,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-06,254,254,"5,927.14",114,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-06,255,255,"2,333.90",1,1,Normal,Transfer In completed,.,.,,Pending
225,URBANPETS SERVICES PRIVATE LIMITED,LN,SHREEJI PET SHOP - MOTERA,2024-04-06,249,249,"1,180.44",12,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-08,256,256,"10,255.09",20,1,Normal,Transfer In completed,san ,.,,Pending
225,URBANPETS SERVICES PRIVATE LIMITED,LN,SHREEJI PET SHOP - MOTERA,2024-04-08,250,250,"19,340.15",212,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-08,257,257,"10,196.56",20,1,Normal,Transfer In completed,.,.,,Pending
225,URBANPETS SERVICES PRIVATE LIMITED,LN,SHREEJI PET SHOP - MOTERA,2024-04-08,251,251,598.40,5,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-09,258,258,"11,796.60",6,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-09,259,259,"4,611.59",37,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-09,260,260,"1,906.80",5,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-09,261,261,"98,305.00",50,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-09,262,262,"2,709.16",4,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-09,263,263,"2,349.36",5,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-10,264,264,"16,609.47",130,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-11,265,265,"18,339.02",101,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-11,266,266,"2,597.03",5,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-11,267,267,"6,351.20",5,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-12,268,268,"21,702.27",29,1,Normal,Transfer In completed,.,.,,Pending
225,URBANPETS SERVICES PRIVATE LIMITED,LN,SHREEJI PET SHOP - MOTERA,2024-04-12,252,252,"4,501.49",6,1,Normal,Transfer In completed,.,.,,Pending
225,URBANPETS SERVICES PRIVATE LIMITED,LN,SHREEJI PET SHOP - MOTERA,2024-04-12,253,253,"15,735.44",18,1,Normal,Transfer In completed,DINESH ,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-13,269,269,"6,626.69",2,1,Normal,Transfer In completed,san ,.,,Pending
225,URBANPETS SERVICES PRIVATE LIMITED,LN,SHREEJI PET SHOP - MOTERA,2024-04-13,254,254,"1,449.16",4,1,Normal,Transfer In completed,.,.,,Pending
225,URBANPETS SERVICES PRIVATE LIMITED,LN,SHREEJI PET SHOP - MOTERA,2024-04-13,255,255,948.10,5,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-15,270,270,"30,437.33",27,1,Normal,Transfer In completed,.,.,,Pending
225,URBANPETS SERVICES PRIVATE LIMITED,LN,SHREEJI PET SHOP - MOTERA,2024-04-15,256,256,"4,639.09",6,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-15,271,271,"3,774.60",2,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-16,272,272,"2,433.61",7,1,Normal,Transfer In completed,.,.,,Pending
32772,URBAN PETS / MOTERA,LN,SHREEJI PET SHOP - SATELLITE,2024-04-16,273,273,911.28,24,1,Normal,Transfer In completed,.,.,,Pending
225,URBANPETS SERVICES PRIVATE LIMITED,LN,SHREEJI PET SHOP - MOTERA,2024-04-16,257,257,"1,820.89",11,1,Normal,Transfer In completed,DINESH ,.,,Pending
