"TransferOut-Detail 
 DATE : from 01-04-2024 11-09-2026 ; Stock Class : Trade , Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
Branch ID,Branch,Transfer out date,Branch prefix,TO no,Branch No,TI Branch No,TI No,Transfer out No,Branch name,Item code,HSN Code,Item name,Stock class,Batch no,Expiry date,Qty,Packed price,Status,Pur_net,Selling,Trans. Price,MRP,Tax %,Total amount,Amount based on Cost Price,Amount based on Sell Price,Brand code,Alias Name,Brand name,GST TaxAmt,SGST TaxAmt,Stock quality,CGST TaxAmt,IGST TaxAmt,GST Cess Amt,GST Cess Perc,CGST Perc,GST Perc,IGST Perc,SGST Perc,Conversion unit,TO ref. No,Business Type,State,Unicode,Item Remark,State Code,Supplier Name
,,,,,,,,,,,,,,,,"150,681",,,,,,,,"55,388,183.00",,,,,,,,,,,,0.00,"6,114.50","12,229.00",0.00,"6,114.50",,,,,,,,
32772,URBAN PETS / MOTERA,2024-04-02,LN,367,245,245,361,245,SHREEJI PET SHOP - SATELLITE,6737,19059020,Purepet Biscuits chicken 800GM,1,,2026-02-25,3,180.00,Transfer In completed,152.54,300.00,900.00,300.00,0,457.62,539.99,900.00,67,,Drools,0.00,0.00,Normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,BRANCH,Gujarat,,,24,PG INDIA LOGISTICS PRIVATE LIMITED
32772,URBAN PETS / MOTERA,2024-04-02,LN,367,245,245,361,245,SHREEJI PET SHOP - SATELLITE,7416,23091000,Purepet Biscuits veg 800GM,1,,2025-03-30,1,152.54,Transfer In completed,152.54,300.00,300.00,300.00,0,152.54,152.54,300.00,67,,Drools,0.00,0.00,Normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,BRANCH,Gujarat,,,24,PG INDIA LOGISTICS PRIVATE LIMITED
32772,URBAN PETS / MOTERA,2024-04-02,LN,367,245,245,361,245,SHREEJI PET SHOP - SATELLITE,7551,23091000,Purepet Biscuits Mutton 800GM,1,,2025-03-30,2,180.00,Transfer In completed,152.54,300.00,600.00,300.00,0,305.08,359.99,600.00,188,,Purepet,0.00,0.00,Normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,BRANCH,Gujarat,,,24,PG INDIA LOGISTICS PRIVATE LIMITED
32772,URBAN PETS / MOTERA,2024-04-02,LN,367,245,245,361,245,SHREEJI PET SHOP - SATELLITE,7550,23091000,Purepet Biscuits milk 800GM,1,,2025-06-30,2,180.00,Transfer In completed,152.54,300.00,600.00,300.00,0,305.08,359.99,600.00,188,,Purepet,0.00,0.00,Normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,BRANCH,Gujarat,,,24,PG INDIA LOGISTICS PRIVATE LIMITED
32772,URBAN PETS / MOTERA,2024-04-02,LN,367,245,245,361,245,SHREEJI PET SHOP - SATELLITE,7321,23091000,My Beau Skin and Hair 300ML,1,,2026-11-30,3,"1,289.93",Transfer In completed,"1,093.16","2,025.00","6,075.00","2,025.00",0,"3,279.48","3,869.79","6,075.00",29,,Bharat International Pet Foods,0.00,0.00,Normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,BRANCH,Gujarat,,,24,Orange Pet Nutrition Pvt Ltd
32772,URBAN PETS / MOTERA,2024-04-02,LN,367,245,245,361,245,SHREEJI PET SHOP - SATELLITE,2772,23091000,My Beau Vision and Optics 300ML,1,,2026-11-30,2,"1,289.93",Transfer In completed,"1,093.16","2,025.00","4,050.00","2,025.00",0,"2,186.32","2,579.86","4,050.00",139,,My Beau ,0.00,0.00,Normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,BRANCH,Gujarat,,,24,Orange Pet Nutrition Pvt Ltd
32772,URBAN PETS / MOTERA,2024-04-02,LN,367,245,245,361,245,SHREEJI PET SHOP - SATELLITE,7322,23091000,My Beau Vitamin & Mineral 300ML,1,,2026-11-30,2,875.88,Transfer In completed,742.27,"1,375.00","2,750.00","1,375.00",0,"1,484.54","1,751.76","2,750.00",29,,Bharat International Pet Foods,0.00,0.00,Normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,BRANCH,Gujarat,,,24,Orange Pet Nutrition Pvt Ltd
32772,URBAN PETS / MOTERA,2024-04-02,LN,367,245,245,361,245,SHREEJI PET SHOP - SATELLITE,7056,23091000,Royal Canin Maxi Puppy 15kg,1,,2024-09-21,2,"8,763.55",Transfer In completed,"7,426.74","11,500.00","23,000.00","11,500.00",0,"15,788.14","17,527.11","23,000.00",192,,Royal Canin,0.00,0.00,Normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,BRANCH,Gujarat,,,24,Jay Projects
32772,URBAN PETS / MOTERA,2024-04-02,LN,367,245,245,361,245,SHREEJI PET SHOP - SATELLITE,7448,23091000,Chicken Bacon Stick BBQ,1,,2025-10-30,3,204.53,Transfer In completed,173.33,425.00,"1,275.00",425.00,0,594.27,613.58,"1,275.00",63,,Dogaholic ,0.00,0.00,Normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,BRANCH,Gujarat,,,24,ABK Imports Pvt. Ltd
225,URBANPETS SERVICES PRIVATE LIMITED,2024-04-02,LN,368,245,246,364,245,SHREEJI PET SHOP - MOTERA,7018,23091000,Drools Adult Chicken and Egg 20KG,1,,2026-02-25,1,"2,161.02",Transfer In completed,"1,800.85","3,400.00","3,400.00","3,400.00",0,"2,161.02","2,161.02","3,400.00",67,,Drools,0.00,0.00,Normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,225245,DISTRIBUTION CENTER,Gujarat,0,,24,OM MEDICS
32772,URBAN PETS / MOTERA,2024-04-03,LN,369,246,246,362,246,SHREEJI PET SHOP - SATELLITE,7832,25081090,Drools Cat Litter 20 Kg,1,,2026-02-25,1,"1,469.00",Transfer In completed,"1,399.05","2,260.00","2,260.00","2,260.00",0,"1,399.05","1,469.00","2,260.00",67,,Drools,0.00,0.00,Normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772246,BRANCH,Gujarat,,,24,OM MEDICS
32772,URBAN PETS / MOTERA,2024-04-03,LN,369,246,246,362,246,SHREEJI PET SHOP - SATELLITE,7440,23091000,Bow Jerky Milk 200gm,1,,2025-08-30,3,143.89,Transfer In completed,121.94,299.00,897.00,299.00,0,418.08,431.67,897.00,190,,Rena,0.00,0.00,Normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772246,BRANCH,Gujarat,,,24,ABK Imports Pvt. Ltd
32772,URBAN PETS / MOTERA,2024-04-03,LN,369,246,246,362,246,SHREEJI PET SHOP - SATELLITE,7287,23091000,Maxi Adult 20KG,1,,2025-05-30,5,"2,320.00",Transfer In completed,"1,966.10","2,900.00","14,500.00","2,900.00",0,"9,830.50","11,599.99","14,500.00",130,,Maxi,0.00,0.00,Normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772246,BRANCH,Gujarat,,,24,PG INDIA LOGISTICS PRIVATE LIMITED
