"Itemwise Stock Statement 
 DATE : from 01-09-2026 11-09-2026 ; Show Amount : Purchase Net , Stock Class : Balance Sheet , Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
BRANDS,DEPARTMENT,CATEGORY,Store,Item code,Item name,Item alias,Status,Opening stock,Opening value,Stock in,Stock in value,Stock out,Stock out value,Closing Qty,Closing amount,Expiry date,Free Qty,Packed price,Selling,MRP,Landing cost,HSN Code,Sale Qty,Transfer out Qty
,,,,,,,,"71,920","10,014,791.12","8,294","2,852,930.40","-14,401","-3,000,382.18","65,813","9,867,339.34",,"15,044","37,516,617.85","62,181,143.05","62,241,954.95","39,987,929.90",,"-11,036","-3,310"
Pedigree,Dog Food,Dry Food ,URBAN PETS / MOTERA,1,Pedigree Puppy Chicken and Milk 10KG,,Active,4,"5,978.24",8,"12,649.68",-8,"-12,303.08",4,"6,324.84",2027-07-17,0,"1,581.21","2,239.00","2,239.00","1,763.58",23091000,0,0
Pedigree,Dog Food,Dry Food ,URBAN PETS / MOTERA,1,Pedigree Puppy Chicken and Milk 10KG,,Active,3,"4,483.80",2,"3,162.42",-4,"-6,065.01",1,"1,581.21",2027-06-30,0,"1,581.21","2,239.00","2,239.00","1,763.58",23091000,-2,0
Pedigree,Dog Food,Dry Food ,URBAN PETS / MOTERA,1,Pedigree Puppy Chicken and Milk 10KG,,Active,0,0.00,0,0.00,0,0.00,0,0.00,2027-05-19,0,"1,581.21","2,239.00","2,239.00","1,763.58",23091000,0,0
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,1,Pedigree Puppy Chicken and Milk 10KG,,Active,2,"2,989.20",2,"3,162.42",-3,"-4,570.41",1,"1,581.21",2027-06-30,0,"1,581.21","2,239.00","2,239.00","1,581.21",23091000,-1,0
Pedigree,Dog Food,Dry Food ,URBAN PETS / MOTERA,1,Pedigree Puppy Chicken and Milk 10KG,,Active,0,0.00,0,0.00,0,0.00,0,0.00,2028-11-21,0,"1,581.21","2,239.00","2,239.00","1,763.58",23091000,0,0
Pedigree,Dog Food,Dry Food ,URBAN PETS / MOTERA,1,Pedigree Puppy Chicken and Milk 10KG,,Active,0,-0.02,1,"1,494.91",-1,"-1,494.89",0,0.00,2027-05-20,0,"1,581.21","2,239.00","2,239.00","1,763.58",23091000,0,0
Pedigree,Dog Food,Dry Food ,URBAN PETS / MOTERA,1,Pedigree Puppy Chicken and Milk 10KG,,Active,0,0.00,0,0.00,0,0.00,0,0.00,2028-04-30,0,"1,581.21","2,239.00","2,239.00","1,763.58",23091000,0,0
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,1,Pedigree Puppy Chicken and Milk 10KG,,Active,0,0.00,0,0.00,0,0.00,0,0.00,2028-04-30,0,"1,581.21","2,239.00","2,239.00","1,581.21",23091000,0,0
