"Categorywise Branchwise current stock Summary 
 Location : URBAN PETS / MOTERA ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
BRANDS,DEPARTMENT,CATEGORY,Alias Name,Item name,Received Qty,Company,Current stock,Division,Item code,Branch ID,Branch
,,,,,"816,071",,"45,811",,,,
Aarya,"Treats, Biscuits & Chews ",Treats  ,,Aarya biscuit Veg 1 kg,0,HEAD OFFICE,0,Main,11553,32772,URBAN PETS / MOTERA
Aarya,"Treats, Biscuits & Chews ",Treats  ,,SM-113 Dog Bone 3 inch,754,HEAD OFFICE,47,Main,11088,32772,URBAN PETS / MOTERA
Aarya,"Treats, Biscuits & Chews ",Treats  ,,SM-115 Dog Bone 4 inch,15,HEAD OFFICE,0,Main,11089,32772,URBAN PETS / MOTERA
ABK,"Treats, Biscuits & Chews ",Treats  ,,Healthy TreatsJoint and HIp for Dogs and puppies 70Gm,13,HEAD OFFICE,6,Main,11162,32772,URBAN PETS / MOTERA
ABK,"Treats, Biscuits & Chews ",Treats  ,,Healthy TRats Skin and coat For Dogs and puppies 70 gm,9,HEAD OFFICE,2,Main,11163,32772,URBAN PETS / MOTERA
ABK,Toys,Toys,,ABK EXO Micro Squeak Football Blue/Green,3,HEAD OFFICE,0,Main,11300,32772,URBAN PETS / MOTERA
ABK,Toys,Toys,,Regular TPR Bone - Transparent Light Blue,3,HEAD OFFICE,0,Main,11306,32772,URBAN PETS / MOTERA
ABK,Miscellaneous,Miscellaneous,,Hose of Dryer,4,HEAD OFFICE,2,Main,11334,32772,URBAN PETS / MOTERA
ABK,Accessories,Trimmer & Nail Cutter ,,Waterproof trimmer,4,HEAD OFFICE,2,Main,11363,32772,URBAN PETS / MOTERA
ABK,Miscellaneous,Miscellaneous,,UV Sterilizer Box,2,HEAD OFFICE,1,Main,11364,32772,URBAN PETS / MOTERA
ABK,Grooming,"Brushes, scissors & Comb ",,ABK Slicker Brush Double Sided 10 x 17 cm,13,HEAD OFFICE,0,Main,11370,32772,URBAN PETS / MOTERA
ABK,"Treats, Biscuits & Chews ",Treats  ,,Sea World Treats 80 gm,29,HEAD OFFICE,0,Main,10760,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Leash,,Premium Lead xs-s 1.20m/15 mm aqua,4,HEAD OFFICE,2,Main,11537,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Leash,,Premium Lead m-l 1.00m/20 mm sangria,3,HEAD OFFICE,1,Main,11538,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Leash,,Premium Lead m-l 1.00m/20 mm curry,4,HEAD OFFICE,1,Main,11539,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Leash,,Premium Lead m-l 1.00m/20 mm blush,4,HEAD OFFICE,2,Main,11540,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Leash,,Premium Lead m-l 1.00m/20 mm aqua,3,HEAD OFFICE,1,Main,11541,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Leash,,Premium Lead m-l 1.00m/20 mm indigo,3,HEAD OFFICE,1,Main,11542,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Leash,,Premium adjustable lead l-xl 2.00m/25 mm fuchsia,4,HEAD OFFICE,1,Main,11543,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Leash,,Premium adjustable lead l-xl 2.00m/25 mm graphite,3,HEAD OFFICE,0,Main,11544,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Leash,,Premium adjustable lead l-xl 2.00m/25 mm black,2,HEAD OFFICE,0,Main,11545,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Leash,,Premium adjustable lead l-xl 2.00m/25 mm red,2,HEAD OFFICE,0,Main,11546,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Leash,,Premium adjustable lead m-l 2.00m/20 mm red,2,HEAD OFFICE,0,Main,11547,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Leash,,Premium adjustable lead m-l 2.00m/20 mm graphite,3,HEAD OFFICE,0,Main,11548,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Leash,,Premium adjustable lead m-l 2.00m/20 mm fuchsia,3,HEAD OFFICE,1,Main,11549,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Leash,,Premium adjustable lead m-l 2.00m/20 mm forest,3,HEAD OFFICE,0,Main,11550,32772,URBAN PETS / MOTERA
ABK,Grooming,"Brushes, scissors & Comb ",,Trimz scissors set 7 inches rose red,1,HEAD OFFICE,0,Main,12119,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Cage & Crates,,Capri 1 pet carrier dark grey,2,HEAD OFFICE,2,Main,12122,32772,URBAN PETS / MOTERA
ABK,Walk Essentials,Cage & Crates,,Capri 1 transport box XS light lilac,2,HEAD OFFICE,1,Main,12123,32772,URBAN PETS / MOTERA
ABK,"Treats, Biscuits & Chews ",Treats  ,,milky chew goat milk mini bones 500 gm,18,HEAD OFFICE,0,Main,11716,32772,URBAN PETS / MOTERA
ABK,"Treats, Biscuits & Chews ",Treats  ,,milky chew goat milk sticks 500 gm,18,HEAD OFFICE,0,Main,11717,32772,URBAN PETS / MOTERA
ABK,Hygiene,Towels & Wipes ,,Pawpaya pet wipes 15 pull pack,39,HEAD OFFICE,11,Main,11804,32772,URBAN PETS / MOTERA
ABK,Toys,Toys,,Little Hat jute fabric catnip 9 cm,12,HEAD OFFICE,6,Main,11805,32772,URBAN PETS / MOTERA
ABK,Toys,Toys,,Bionic Toss  n tug ring 22.7 cm,12,HEAD OFFICE,4,Main,11806,32772,URBAN PETS / MOTERA
ABK,Toys,Toys,,Bionic Bone small 9.5 cm,12,HEAD OFFICE,0,Main,11807,32772,URBAN PETS / MOTERA
ABK,Toys,Toys,,Tennis Ball 6 cm,10,HEAD OFFICE,3,Main,11808,32772,URBAN PETS / MOTERA
ABK,Toys,Toys,,Cooling Bone 11 cm,0,HEAD OFFICE,0,Main,11809,32772,URBAN PETS / MOTERA
ABK,Toys,Toys,,Cat Rope Hamp 15 cm,12,HEAD OFFICE,6,Main,11810,32772,URBAN PETS / MOTERA
Absorption,Hygiene,Towels & Wipes ,,Absorption Towel - Green,21,HEAD OFFICE,0,Main,10946,32772,URBAN PETS / MOTERA
Absorption,Hygiene,Towels & Wipes ,,Absorption Towel - Yellow,21,HEAD OFFICE,0,Main,10947,32772,URBAN PETS / MOTERA
Absorption,Hygiene,Towels & Wipes ,,Absorption Towel - Pink,27,HEAD OFFICE,0,Main,10948,32772,URBAN PETS / MOTERA
Absorption,Hygiene,Towels & Wipes ,,Absorption Towel - Purple,21,HEAD OFFICE,0,Main,10949,32772,URBAN PETS / MOTERA
Absorption,Hygiene,Towels & Wipes ,,Absorption Towel,114,HEAD OFFICE,25,Main,10950,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana prairie poutry 17 kg,1,HEAD OFFICE,0,Main,10416,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Grass Fed Lamb 6KG,0,HEAD OFFICE,0,Main,1706,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Grass Fed Lamb 340G,0,HEAD OFFICE,0,Main,1707,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Grass Fed Lamb 2KG,7,HEAD OFFICE,3,Main,1708,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Free Run Duck  6KG,10,HEAD OFFICE,0,Main,1709,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Puppy and Junior Food 11.4KG,0,HEAD OFFICE,0,Main,1710,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Puppy and Junior Food 6KG,0,HEAD OFFICE,0,Main,1711,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Puppy Large Breed 11.4KG,0,HEAD OFFICE,0,Main,1712,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Free Run Duck 11.4KG,0,HEAD OFFICE,0,Main,1713,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Puppy Large Breed 17KG,4,HEAD OFFICE,0,Main,1714,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Grass Fed Lamb 11.4KG,0,HEAD OFFICE,0,Main,1715,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Light and Fit 6KG,29,HEAD OFFICE,0,Main,1716,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Pacifica Cat Food 340G,0,HEAD OFFICE,0,Main,1717,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Free Run Duck 2KG,2,HEAD OFFICE,0,Main,1718,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Free Run Duck 340G,0,HEAD OFFICE,0,Main,1719,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Light and Fit 340G,0,HEAD OFFICE,0,Main,1720,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Puppy and Junior Food 340G,0,HEAD OFFICE,0,Main,1721,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Adult Small Breed 2KG,0,HEAD OFFICE,0,Main,1722,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Light and Fit 2KG,18,HEAD OFFICE,0,Main,1723,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Puppy Small Breed 2KG,0,HEAD OFFICE,0,Main,1724,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Adult Large Breed 17KG,0,HEAD OFFICE,0,Main,1725,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Light and Fit 11.4KG,12,HEAD OFFICE,0,Main,1726,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Classic Wild Coast 2KG,0,HEAD OFFICE,0,Main,1727,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Adult Small Breed 340G,0,HEAD OFFICE,0,Main,1728,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Adult Small Breed 6KG,0,HEAD OFFICE,0,Main,1729,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Adult Large Breed 11.4KG,0,HEAD OFFICE,0,Main,1730,32772,URBAN PETS / MOTERA
Acana,Dog Food,Dry Food ,,Acana Classic Wild Coast 340G,0,HEAD OFFICE,0,Main,1731,32772,URBAN PETS / MOTERA
