"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Item Age Analysis 
 Stock Class : Balance Sheet , Location : URBANPETS SERVICES PRIVATE LIMITED ; 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item name,BRANDS,DEPARTMENT,CATEGORY,Item code,Trans. Type,Trans. No,Purchase date,Trans. Date,Packed price,Selling,MRP,Landing cost,Net cost,Batch stock,Received Qty,Stock value on landing cost,Batch no,Old Batch No,Stock value on selling,Expiry date,Old Expiry Date,MFR Date,Old MFR Date,Stock age(Based on purchase date),Stock age(Based on transaction date),Branch,Alias Name,Brand code,Brand name,Supplier Name,Branch Area,Branch Circle,Branch State,City
Grand Total,,,,,,,,,,,,,"700,950.84","21,481",,"3,559,479.16",,,"6,168,263.24",,,,,,,,,,,,,,,
10inch 250mm Steel Comb,,,,,,,,,,,,,124.29,1,,124.29,,,500.00,,,,,,,,,,,,,,,
,Andis,Grooming,"Brushes, scissors & Comb ",2350,TRANSFER-IN,3853,2026-01-30,2026-02-26,124.29,500.00,500.00,124.29,124.29,1,1,124.29,12350-1127,12350-1127,500.00,,,,,224,197,URBANPETS SERVICES PRIVATE LIMITED,,7,Andis,Shreeji Pet Shop,,,Gujarat,Ahmedabad
ABK Slicker Brush Double Sided 10 x 17 cm,,,,,,,,,,,,,169.25,1,,169.25,,,415.00,,,,,,,,,,,,,,,
,ABK,Grooming,"Brushes, scissors & Comb ",11370,TRANSFER-IN,3853,2026-01-31,2026-02-26,169.25,415.00,415.00,169.25,169.25,1,1,169.25,A11370-1126,A11370-1126,415.00,,,,,223,197,URBANPETS SERVICES PRIVATE LIMITED,,289,ABK,Shreeji Pet Shop,,,Gujarat,Ahmedabad
Absorption Towel,,,,,,,,,,,,,152.54,2,,677.96,,,"1,500.00",,,,,,,,,,,,,,,
,Absorption,Hygiene,Towels & Wipes ,10950,TRANSFER-IN,5128,2026-08-22,2026-09-09,338.98,750.00,750.00,338.98,152.54,2,2,677.96,A10950-1027,A10950-1027,"1,500.00",,,,,20,2,URBANPETS SERVICES PRIVATE LIMITED,,304,Absorption,PETAHOLIC PET PRODUCTS PRIVATE LIMITED,,,Gujarat,Ahmedabad
Adjustable Feeding Stand U Type- S,,,,,,,,,,,,,500.00,1,,590.00,,,"1,075.00",,,,,,,,,,,,,,,
,Lal Pet Products,Bowls & Water Bottle ,Bowl,638,PURCHASE,3412,2026-01-30,2026-01-30,500.00,"1,075.00","1,075.00",590.00,500.00,1,1,590.00,A638-8677,A638-8677,"1,075.00",,,,,224,224,URBANPETS SERVICES PRIVATE LIMITED,,118,Lal Pet Products,Shreeji Pet Shop,,,Gujarat,Ahmedabad
Alembic Dexaflox Eye Drop 10ml,,,,,,,,,,,,,70.40,32,,"2,365.38",,,"3,285.12",,,,,,,,,,,,,,,
,other,Medicine & Supplements ,Medicine ,11052,PURCHASE,4171,2026-07-14,2026-07-14,78.22,102.66,102.66,73.92,70.40,32,50,"2,365.38",A11052-8111,A11052-8111,"3,285.12",2027-08-30,2027-08-30,,,59,59,URBANPETS SERVICES PRIVATE LIMITED,,255,other,shah and Kothari Brothers,,,Gujarat,Ahmedabad
Alkapro 200ml,,,,,,,,,,,,,372.97,21,,"4,236.65",,,"6,967.35",,,,,,,,,,,,,,,
,mahima enterprise,Medicine & Supplements ,Medicine ,11886,PURCHASE,3598,2026-03-10,2026-03-10,214.28,281.25,281.25,187.50,178.57,3,12,562.49,A11886-1587,A11886-1587,843.75,2028-06-30,2028-06-30,,,185,185,URBANPETS SERVICES PRIVATE LIMITED,,338,mahima enterprise,MAHIMA ENTERPRISE,,,Gujarat,Ahmedabad
,mahima enterprise,Medicine & Supplements ,Medicine ,11886,PURCHASE,4386,2026-08-29,2026-08-29,259.20,340.20,340.20,204.12,194.40,18,20,"3,674.16",A11886-505,A11886-505,"6,123.60",2029-04-30,2029-04-30,,,13,13,URBANPETS SERVICES PRIVATE LIMITED,,338,mahima enterprise,MAHIMA ENTERPRISE,,,Gujarat,Ahmedabad
All 4 Pet Goat Elite Powd 200gm,,,,,,,,,,,,,650.85,4,,"3,072.00",,,"4,800.00",,,,,,,,,,,,,,,
,other,Medicine & Supplements ,Medicine ,10394,PURCHASE,3686,2026-03-28,2026-03-28,813.56,"1,200.00","1,200.00",768.00,650.85,4,5,"3,072.00",A10394-2723,A10394-2723,"4,800.00",2027-01-31,2027-01-31,,,167,167,URBANPETS SERVICES PRIVATE LIMITED,,255,other,MAHIMA ENTERPRISE,,,Gujarat,Ahmedabad
All 4 Pet Paw Cream 50gm,,,,,,,,,,,,,305.08,4,,"1,439.98",,,"2,400.00",,,,,,,,,,,,,,,
,EktekPharma,Medicine & Supplements ,Medicine ,11061,PURCHASE,3438,2026-01-30,2026-01-30,305.08,600.00,600.00,360.00,305.08,4,4,"1,439.98",A11061-9360,A11061-9360,"2,400.00",2027-02-28,2027-02-28,,,224,224,URBANPETS SERVICES PRIVATE LIMITED,,307,EktekPharma,Shreeji Pet Shop,,,Gujarat,Ahmedabad
American Hoodies 20 No.,,,,,,,,,,,,,238.09,1,,249.99,,,850.00,,,,,,,,,,,,,,,
,Petaholic,Clothing ,Hoodies ,11744,PURCHASE,3454,2026-01-31,2026-01-30,238.09,850.00,850.00,249.99,238.09,1,1,249.99,A11744-9855,A11744-9855,850.00,,,,,223,224,URBANPETS SERVICES PRIVATE LIMITED,,169,Petaholic ,Shreeji Pet Shop,,,Gujarat,Ahmedabad
American Hoodies 22 No.,,,,,,,,,,,,,285.71,1,,300.00,,,950.00,,,,,,,,,,,,,,,
,Petaholic,Clothing ,Hoodies ,11745,PURCHASE,3454,2026-01-31,2026-01-30,285.71,950.00,950.00,300.00,285.71,1,1,300.00,A11745-9856,A11745-9856,950.00,,,,,223,224,URBANPETS SERVICES PRIVATE LIMITED,,169,Petaholic ,Shreeji Pet Shop,,,Gujarat,Ahmedabad
American Hoodies 26 No.,,,,,,,,,,,,,285.71,1,,300.00,,,950.00,,,,,,,,,,,,,,,
,Petaholic,Clothing ,Hoodies ,11747,PURCHASE,3454,2026-01-31,2026-01-30,285.71,950.00,950.00,300.00,285.71,1,1,300.00,A11747-9857,A11747-9857,950.00,,,,,223,224,URBANPETS SERVICES PRIVATE LIMITED,,169,Petaholic ,Shreeji Pet Shop,,,Gujarat,Ahmedabad
Amobest 375 Tab,,,,,,,,,,,,,21.60,435,,"4,932.90",,,"7,703.85",,,,,,,,,,,,,,,
,Petbest,Medicine & Supplements ,Medicine ,10863,PURCHASE,4241,2026-08-01,2026-08-01,10.80,17.71,17.71,11.34,10.80,2,300,22.68,A10863-8959,A10863-8959,35.42,2027-04-30,2027-04-30,,,41,41,URBANPETS SERVICES PRIVATE LIMITED,,298,Petbest,integrated healthcare,,,Gujarat,Ahmedabad
,Petbest,Medicine & Supplements ,Medicine ,10863,PURCHASE,4327,2026-08-14,2026-08-14,10.80,17.71,17.71,11.34,10.80,433,500,"4,910.22",A10863-9835,A10863-9835,"7,668.43",2027-11-30,2027-11-30,,,28,28,URBANPETS SERVICES PRIVATE LIMITED,,298,Petbest,integrated healthcare,,,Gujarat,Ahmedabad
Amoxirium Forte Injection 300mg,,,,,,,,,,,,,39.80,144,,"6,018.21",,,"8,640.00",,,,,,,,,,,,,,,
,Hygiene,Medicine & Supplements ,Medicine ,2915,PURCHASE,4281,2026-08-08,2026-08-08,41.14,60.00,60.00,41.79,39.80,144,160,"6,018.21",A2915-9490,A2915-9490,"8,640.00",2027-11-30,2027-11-30,,,34,34,URBANPETS SERVICES PRIVATE LIMITED,,102,Hygiene,VIRBAC ANIMAL HEALTH INDIA PRIVATE LIMITED,,,Gujarat,Ahmedabad
Andis Medium Firm Slicker Brush Lime Green,,,,,,,,,,,,,927.08,2,,"1,010.52",,,"1,990.00",,,,,,,,,,,,,,,
,Andis,Grooming,"Brushes, scissors & Comb ",10776,PURCHASE,3433,2026-01-30,2026-01-30,463.54,995.00,995.00,546.98,463.54,1,1,546.98,A10776-9221,A10776-9221,995.00,,,,,224,224,URBANPETS SERVICES PRIVATE LIMITED,,7,Andis,Shreeji Pet Shop,,,Gujarat,Ahmedabad
,Andis,Grooming,"Brushes, scissors & Comb ",10776,TRANSFER-IN,3853,2026-01-30,2026-02-26,463.54,995.00,995.00,463.54,463.54,1,1,463.54,A10776-1128,A10776-1128,995.00,,,,,224,197,URBANPETS SERVICES PRIVATE LIMITED,,7,Andis,Shreeji Pet Shop,,,Gujarat,Ahmedabad
Apro Dog 20 Kg,,,,,,,,,,,,,"1,871.82",4,,"7,881.36",,,"12,400.00",,,,,,,,,,,,,,,
,Apro,Dog Food,Dry Food ,7068,TRANSFER-IN,5123,2026-09-07,2026-09-08,"1,970.34","3,100.00","3,100.00","1,970.34","1,871.82",4,5,"7,881.36",A7068-1000,A7068-1000,"12,400.00",2028-01-20,2028-01-20,,,4,3,URBANPETS SERVICES PRIVATE LIMITED,,9,Apro,Murlidhar Bansidhar,,,Gujarat,Ahmedabad
Aptifast pet 200ml,,,,,,,,,,,,,250.00,6,,750.00,,,"1,500.00",,,,,,,,,,,,,,,
,Canicon,Medicine & Supplements ,Medicine ,11213,TRANSFER-IN,5010,2026-01-31,2026-08-19,125.00,250.00,250.00,125.00,125.00,1,1,125.00,A11213-9864,A11213-9864,250.00,2026-09-30,2026-09-30,,,223,23,URBANPETS SERVICES PRIVATE LIMITED,,318,Canicon,Shreeji Pet Shop,,,Gujarat,Ahmedabad
,Canicon,Medicine & Supplements ,Medicine ,11213,PURCHASE,3446,2026-01-30,2026-01-30,125.00,250.00,250.00,125.00,125.00,5,7,625.00,A11213-9571,A11213-9571,"1,250.00",2026-09-30,2026-09-30,,,224,224,URBANPETS SERVICES PRIVATE LIMITED,,318,Canicon,Shreeji Pet Shop,,,Gujarat,Ahmedabad
Aptiquik Syrup 200 ML,,,,,,,,,,,,,100.68,6,,634.25,,,950.58,,,,,,,,,,,,,,,
,MANKIND,Medicine & Supplements ,Medicine ,3039,PURCHASE,4320,2026-08-05,2026-08-05,120.81,158.43,158.43,105.71,100.68,6,6,634.25,A3039-9782,A3039-9782,950.58,2027-11-30,2027-11-30,,,37,37,URBANPETS SERVICES PRIVATE LIMITED,,127,MANKIND,MAHIMA ENTERPRISE,,,Gujarat,Ahmedabad
Arm and Hammer ultra fresh 2 in 1 detangling shampoo and conditioner for dogs,,,,,,,,,,,,,676.00,1,,676.00,,,949.99,,,,,,,,,,,,,,,
,Arm and Hammer,Grooming,Shampoo & Conditioner ,11664,TRANSFER-IN,3729,2026-01-31,2026-02-10,676.00,949.99,949.99,676.00,676.00,1,1,676.00,A11664-188,A11664-188,949.99,2027-11-12,2027-11-12,,,223,213,URBANPETS SERVICES PRIVATE LIMITED,,336,Arm and Hammer,Shreeji Pet Shop,,,Gujarat,Ahmedabad
Arm and Hammer ultra fresh itch relief,,,,,,,,,,,,,402.54,1,,402.54,,,949.99,,,,,,,,,,,,,,,
,Arm and Hammer,Grooming,Shampoo & Conditioner ,11666,TRANSFER-IN,3729,2026-01-31,2026-02-10,402.54,949.99,949.99,402.54,402.54,1,1,402.54,A11666-187,A11666-187,949.99,2027-12-05,2027-12-05,,,223,213,URBANPETS SERVICES PRIVATE LIMITED,,336,Arm and Hammer,Shreeji Pet Shop,,,Gujarat,Ahmedabad
Artimarin Elite 10 tablet,,,,,,,,,,,,,22.60,60,,"1,600.08",,,"2,400.00",,,,,,,,,,,,,,,
,Medicines,Medicine & Supplements ,Medicine ,11823,PURCHASE,3454,2026-01-31,2026-01-30,22.60,40.00,40.00,26.67,22.60,60,60,"1,600.08",A11823-9872,A11823-9872,"2,400.00",2027-01-30,2027-01-30,,,223,224,URBANPETS SERVICES PRIVATE LIMITED,,253,Integrated Healthcare,Shreeji Pet Shop,,,Gujarat,Ahmedabad
Asbrip 150ml,,,,,,,,,,,,,569.00,7,,"4,699.94",,,"6,993.00",,,,,,,,,,,,,,,
,Hygiene,Medicine & Supplements ,Medicine ,2920,PURCHASE,3426,2026-01-30,2026-01-30,569.00,999.00,999.00,671.42,569.00,7,8,"4,699.94",A2920-9059,A2920-9059,"6,993.00",2099-12-12,2099-12-12,,,224,224,URBANPETS SERVICES PRIVATE LIMITED,,102,Hygiene,Shreeji Pet Shop,,,Gujarat,Ahmedabad
Assurem Acicare - E 40mg,,,,,,,,,,,,,120.80,30,,"1,972.28",,,"3,944.95",,,,,,,,,,,,,,,
,other,Medicine & Supplements ,Medicine ,11365,PURCHASE,3450,2026-01-30,2026-01-30,58.03,121.88,121.88,60.93,58.03,1,50,60.93,A11365-9676,A11365-9676,121.88,2027-02-28,2027-02-28,,,224,224,URBANPETS SERVICES PRIVATE LIMITED,,255,other,Shreeji Pet Shop,,,Gujarat,Ahmedabad
,other,Medicine & Supplements ,Medicine ,11365,PURCHASE,4239,2026-08-01,2026-08-01,62.77,131.83,131.83,65.91,62.77,29,50,"1,911.35",A11365-8955,A11365-8955,"3,823.07",2027-11-30,2027-11-30,,,41,41,URBANPETS SERVICES PRIVATE LIMITED,,255,other,MAHIMA ENTERPRISE,,,Gujarat,Ahmedabad
Assurem Kufcare 100ml,,,,,,,,,,,,,66.97,13,,914.11,,,"1,523.47",,,,,,,,,,,,,,,
,Assurem,Medicine & Supplements ,Medicine ,11481,PURCHASE,3598,2026-03-10,2026-03-10,89.29,117.19,117.19,70.32,66.97,13,40,914.11,A11481-1588,A11481-1588,"1,523.47",2027-10-30,2027-10-30,,,185,185,URBANPETS SERVICES PRIVATE LIMITED,,328,Assurem,MAHIMA ENTERPRISE,,,Gujarat,Ahmedabad
Assurem relaxpet 200ml,,,,,,,,,,,,,225.00,16,,"3,600.00",,,"6,000.00",,,,,,,,,,,,,,,
,other,Medicine & Supplements ,Medicine ,11034,PURCHASE,3437,2026-01-30,2026-01-30,225.00,375.00,375.00,225.00,225.00,16,20,"3,600.00",A11034-9349,A11034-9349,"6,000.00",2027-06-30,2027-06-30,,,224,224,URBANPETS SERVICES PRIVATE LIMITED,,255,other,Shreeji Pet Shop,,,Gujarat,Ahmedabad
augmentin 375 mg tablet,,,,,,,,,,,,,17.45,79,,"1,447.48",,,"1,989.22",,,,,,,,,,,,,,,
,other,Medicine & Supplements ,Medicine ,10589,PURCHASE,3453,2026-01-30,2026-01-30,17.45,25.18,25.18,18.32,17.45,79,79,"1,447.48",a10589-9764,a10589-9764,"1,989.22",,,,,224,224,URBANPETS SERVICES PRIVATE LIMITED,,255,other,Shreeji Pet Shop,,,Gujarat,Ahmedabad
Auriko Ear Drops 15ml,,,,,,,,,,,,,100.81,19,,"2,011.15",,,"3,420.00",,,,,,,,,,,,,,,
