"Transfer In Summary 
 DATE : from 01-04-2024 11-09-2026 ; Stock Class : Trade , Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
Prefix,TI No,Branch No,TI Branch No,TO no,TO Branch No,TI date,TI Branch Code,TI Branch,TO Branch,Amount based on Cost Price,Amount based on Sell Price,Stock class,Freight,Stock quality,Remarks,Message
,,,,,,,,,,"55,472,381.98","87,368,615.19",,0.00,,,
LK,1714,1094,1094,1714,1094,2025-04-07,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"13,665.20","21,500.00",1,0.00,Normal,.,.
LN,1404,909,909,1404,909,2025-02-01,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"9,253.03","14,130.00",1,0.00,Normal,.,.
LN,1405,910,910,1405,910,2025-02-01,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"44,451.15","68,890.00",1,0.00,Normal,.,.
LN,1406,911,911,1408,913,2025-02-03,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"1,575.26","3,098.00",1,0.00,Normal,.,.
LN,1407,912,912,1407,912,2025-02-03,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,994.66,"2,200.00",1,0.00,Normal,.,.
LN,1408,913,913,1406,911,2025-02-03,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"3,915.25","6,600.00",1,0.00,Normal,.,.
LN,1409,914,914,1409,914,2025-02-03,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"153,544.05","225,729.00",1,0.00,Normal,.,.
LN,1410,624,624,1410,618,2025-02-03,32772,URBAN PETS / MOTERA,URBANPETS SERVICES PRIVATE LIMITED,"8,699.41","14,249.00",1,0.00,Normal,.,.
LN,1411,915,915,1411,915,2025-02-03,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"2,155.93","3,180.00",1,0.00,Normal,DINESH ,.
LN,1412,625,625,1413,620,2025-02-04,32772,URBAN PETS / MOTERA,URBANPETS SERVICES PRIVATE LIMITED,538.00,990.00,1,0.00,Normal,.,.
LN,1413,626,626,1412,619,2025-02-04,32772,URBAN PETS / MOTERA,URBANPETS SERVICES PRIVATE LIMITED,"66,958.48","105,850.00",1,0.00,Normal,.,.
LN,1414,627,627,1416,622,2025-02-04,32772,URBAN PETS / MOTERA,URBANPETS SERVICES PRIVATE LIMITED,"5,380.00","9,900.00",1,0.00,Normal,.,.
LN,1415,628,628,1415,621,2025-02-04,32772,URBAN PETS / MOTERA,URBANPETS SERVICES PRIVATE LIMITED,371.94,798.00,1,0.00,Normal,.,.
LN,1416,916,916,1414,916,2025-02-05,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"2,876.40","5,380.00",1,0.00,Normal,.,.
LN,1417,917,917,1417,917,2025-02-05,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"3,050.64","4,320.00",1,0.00,Normal,.,.
LN,1418,918,918,1418,918,2025-02-05,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"14,559.50","24,325.00",1,0.00,Normal,.,.
LN,1419,629,629,1419,623,2025-02-05,32772,URBAN PETS / MOTERA,URBANPETS SERVICES PRIVATE LIMITED,"5,136.58","8,030.00",1,0.00,Normal,.,.
LN,1420,919,919,1420,919,2025-02-05,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"7,084.74","10,450.00",1,0.00,Normal,.,.
LN,1421,920,920,1421,920,2025-02-05,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"6,567.66","7,750.00",1,0.00,Normal,.,.
LN,1422,921,921,1422,921,2025-02-05,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"25,632.61","31,046.00",1,0.00,Normal,.,.
LN,1423,922,922,1424,922,2025-02-06,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"38,108.37","50,613.00",1,0.00,Normal,.,.
LN,1424,630,630,1425,625,2025-02-06,32772,URBAN PETS / MOTERA,URBANPETS SERVICES PRIVATE LIMITED,982.54,"1,906.00",1,0.00,Normal,.,.
LN,1425,631,631,1423,624,2025-02-06,32772,URBAN PETS / MOTERA,URBANPETS SERVICES PRIVATE LIMITED,"4,916.07","9,298.00",1,0.00,Normal,.,.
LN,1426,923,923,1426,923,2025-02-06,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"21,177.90","24,990.00",1,0.00,Normal,Monika,.
LN,1427,924,924,1428,924,2025-02-06,225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,"2,034.00","2,400.00",1,0.00,Normal,.,.
LN,1428,632,632,1429,627,2025-02-06,32772,URBAN PETS / MOTERA,URBANPETS SERVICES PRIVATE LIMITED,"3,323.60","5,170.00",1,0.00,Normal,.,.
LN,1429,633,633,1427,626,2025-02-06,32772,URBAN PETS / MOTERA,URBANPETS SERVICES PRIVATE LIMITED,"3,923.86","7,125.00",1,0.00,Normal,.,.
