"Transfer In Details 
 DATE : from 01-04-2024 11-09-2026 ; Stock Class : Trade , Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
TI Branch Code,TI Branch,TO Branch Code,TO Branch,Branch prefix,TI No,Branch No,TI Branch No,TO no,TO Branch No,TI date,S.no,Item code,HSN Code,Item name,Stock class,Alias Name,Batch no,Order Qty,TO qty.,Received Qty,Trans. Price,Rate,Selling,Tax %,MRP,Amount based on Cost Price,Amount based on Sell Price,Brand code,Brand name,GST TaxAmt,Issue format,Expiry date,SGST TaxAmt,Stock quality,Total amount,CGST TaxAmt,IGST TaxAmt,GST Cess Amt,GST Cess Perc,CGST Perc,GST Perc,IGST Perc,SGST Perc,Conversion unit,TO ref. No,TI ref. No,Business Type,State,Unicode,Damage Qty,Shortage Qty,Actual Received Qty
,,,,,,,,,,,,,,,,,,,,,,,,,,"47,291,859.52","87,368,615.19",,,,,,,,,,,,0.00,"6,114.50","12,229.00",0.00,"6,114.50",,,,,,,,,
225,URBANPETS SERVICES PRIVATE LIMITED,32772,URBAN PETS / MOTERA,LN,361,245,245,367,245,2024-04-02,1,6737,19059020,Purepet Biscuits chicken 800GM,1,,,0,3,3,900.00,152.54,300.00,0,300.00,457.62,900.00,67,Drools,0.00,,2026-02-25,0.00,Normal,457.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,225245,DISTRIBUTION CENTER,Gujarat,0,0,0,0
225,URBANPETS SERVICES PRIVATE LIMITED,32772,URBAN PETS / MOTERA,LN,361,245,245,367,245,2024-04-02,2,7416,23091000,Purepet Biscuits veg 800GM,1,,,0,1,1,300.00,152.54,300.00,0,300.00,152.54,300.00,67,Drools,0.00,,2025-03-30,0.00,Normal,152.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,225245,DISTRIBUTION CENTER,Gujarat,0,0,0,0
225,URBANPETS SERVICES PRIVATE LIMITED,32772,URBAN PETS / MOTERA,LN,361,245,245,367,245,2024-04-02,3,7551,23091000,Purepet Biscuits Mutton 800GM,1,,,0,2,2,600.00,152.54,300.00,0,300.00,305.08,600.00,188,Purepet,0.00,,2025-03-30,0.00,Normal,305.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,225245,DISTRIBUTION CENTER,Gujarat,0,0,0,0
225,URBANPETS SERVICES PRIVATE LIMITED,32772,URBAN PETS / MOTERA,LN,361,245,245,367,245,2024-04-02,4,7550,23091000,Purepet Biscuits milk 800GM,1,,,0,2,2,600.00,152.54,300.00,0,300.00,305.08,600.00,188,Purepet,0.00,,2025-06-30,0.00,Normal,305.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,225245,DISTRIBUTION CENTER,Gujarat,0,0,0,0
225,URBANPETS SERVICES PRIVATE LIMITED,32772,URBAN PETS / MOTERA,LN,361,245,245,367,245,2024-04-02,5,7321,23091000,My Beau Skin and Hair 300ML,1,,,0,3,3,"6,075.00","1,093.16","2,025.00",0,"2,025.00","3,279.48","6,075.00",29,Bharat International Pet Foods,0.00,,2026-11-30,0.00,Normal,"3,279.48",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,225245,DISTRIBUTION CENTER,Gujarat,0,0,0,0
225,URBANPETS SERVICES PRIVATE LIMITED,32772,URBAN PETS / MOTERA,LN,361,245,245,367,245,2024-04-02,6,2772,23091000,My Beau Vision and Optics 300ML,1,,,0,2,2,"4,050.00","1,093.16","2,025.00",0,"2,025.00","2,186.32","4,050.00",139,My Beau ,0.00,,2026-11-30,0.00,Normal,"2,186.32",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,225245,DISTRIBUTION CENTER,Gujarat,0,0,0,0
225,URBANPETS SERVICES PRIVATE LIMITED,32772,URBAN PETS / MOTERA,LN,361,245,245,367,245,2024-04-02,7,7322,23091000,My Beau Vitamin & Mineral 300ML,1,,,0,2,2,"2,750.00",742.27,"1,375.00",0,"1,375.00","1,484.54","2,750.00",29,Bharat International Pet Foods,0.00,,2026-11-30,0.00,Normal,"1,484.54",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,225245,DISTRIBUTION CENTER,Gujarat,0,0,0,0
225,URBANPETS SERVICES PRIVATE LIMITED,32772,URBAN PETS / MOTERA,LN,361,245,245,367,245,2024-04-02,8,7056,23091000,Royal Canin Maxi Puppy 15kg,1,,,0,2,2,"23,000.00","7,426.74","11,500.00",0,"11,500.00","14,853.48","23,000.00",192,Royal Canin,0.00,,2024-09-21,0.00,Normal,"15,788.14",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UNIT,32772245,225245,DISTRIBUTION CENTER,Gujarat,0,0,0,0
