"Itemwise Stock and Sales Detail 
 DATE : from 01-09-2026 11-09-2026 ; Show Amount : Purchase Net , Stock Class : Balance Sheet , Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
BRANDS,DEPARTMENT,CATEGORY,Item code,Item name,Alias Name,Batch no,Opening Qty,Opening Qty. Amount,Purchase Qty,Total Opening Qty,Purchase item amount,Sale Qty,Sales item amount,Sales return qty.,Purchase Free Qty,Total Purchase Qty,Sales return item amount,Stock update,Stock update item amount,Purchase return qty.,Purchase return item amount,Transfer in Qty,Transfer in item amount,Total sales Qty,Transfer out Qty,Transfer out item amount,RN Qty,RN item amount,Total Closing Stock,Sales DN Qty,Sales DN amount,SDN Return Quantity,SDN Return amount,Closing stock,Closing stock amount,Prev Month DNtoSAL Qty,Prev Month DNtoSAL Amt,Brand name,Expiry date,Bulk amount,Bulk Qty,Conv. Loss amount,Conv. Loss qty.,Damage,Damage amount,Repack amount,Repack Qty,Stock conversion,Stock conversion amount,Theft,Theft amount,Wastage,Wastage amount
,,,,,,,"56,969","10,014,","4,721",,"2,027,5","-11,036","-2,235,9",80,,,"38,393.",32,"2,647.3",0,0.00,"3,313","723,279",,"-3,310","-703,42",0,0.00,,0,0.00,,,"50,769.","9,867,3",0,0.00,,,0.00,0,0.00,0,,,0.00,0,0,0.00,,,,
Aarya,"Treats, Biscuits & Chews ",Treats  ,11088,SM-113 Dog Bone 3 inch,,,61,"2,843.21",0,61,0.00,-14,-652.54,0,0,0,0.00,0,0.00,0,0.00,0,0.00,-14,0,0.00,0,0.00,47.00,0,0.00,0,0.00,47.00,"2,190.67",0,0.00,Aarya,2027-12-12,0.00,0,0.00,0,0,0.00,0.00,0,0,0.00,0,0.00,0,0.00
Aarya,"Treats, Biscuits & Chews ",Treats  ,11088,SM-113 Dog Bone 3 inch,,,0,0.00,0,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,Aarya,2028-01-30,0.00,0,0.00,0,0,0.00,0.00,0,0,0.00,0,0.00,0,0.00
Aarya,"Treats, Biscuits & Chews ",Treats  ,11088,SM-113 Dog Bone 3 inch,,,0,0.00,0,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,Aarya,2027-08-30,0.00,0,0.00,0,0,0.00,0.00,0,0,0.00,0,0.00,0,0.00
Aarya,"Treats, Biscuits & Chews ",Treats  ,11088,SM-113 Dog Bone 3 inch,,,0,0.00,0,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,Aarya,2027-07-30,0.00,0,0.00,0,0,0.00,0.00,0,0,0.00,0,0.00,0,0.00
Aarya,"Treats, Biscuits & Chews ",Treats  ,11088,SM-113 Dog Bone 3 inch,,,0,0.00,0,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,Aarya,2026-09-19,0.00,0,0.00,0,0,0.00,0.00,0,0,0.00,0,0.00,0,0.00
Aarya,"Treats, Biscuits & Chews ",Treats  ,11088,SM-113 Dog Bone 3 inch,,,0,0.00,0,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,Aarya,2027-11-12,0.00,0,0.00,0,0,0.00,0.00,0,0,0.00,0,0.00,0,0.00
Aarya,"Treats, Biscuits & Chews ",Treats  ,11088,SM-113 Dog Bone 3 inch,,,0,0.00,0,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,Aarya,2027-07-17,0.00,0,0.00,0,0,0.00,0.00,0,0,0.00,0,0.00,0,0.00
Aarya,"Treats, Biscuits & Chews ",Treats  ,11088,SM-113 Dog Bone 3 inch,,,0,0.00,0,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,Aarya,2026-05-30,0.00,0,0.00,0,0,0.00,0.00,0,0,0.00,0,0.00,0,0.00
