"Price list 
 Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
BRANDS,DEPARTMENT,CATEGORY,Branch,Item code,Item name,Item alias,Stock,Damage,Selling,MRP,Packed price,Landing cost,Business Type,State
,,,,,,,,,,,,,,
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,1,Pedigree Puppy Chicken and Milk 10KG,,2,0,"2,239.00","2,239.00","1,581.21","1,581.21",DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,2,Pedigree Pro  Adult Small Breed 3 Kg,,0,0,"1,200.00","1,200.00",762.70,886.49,DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,3,PED Chicken and Veg 3KG,,0,0,660.00,660.00,442.98,522.72,DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,4,Pedigree Puppy Chicken and Milk 15KG,,0,0,"3,540.00","3,540.00","2,400.00","2,400.00",DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,5,Pedigree Pro Puppy Large Breed 1.2KG,,0,0,540.00,540.00,329.49,388.80,DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,6,PED Meat and  Rice 3KG,,0,0,620.00,620.00,420.34,496.00,DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,7,Pedigree pro puppy large breed 3 kg,,0,0,"1,270.00","1,270.00",794.30,937.27,DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,10,Pedigree Adult Meat and Veg 20KG,,0,0,"4,050.00","4,050.00","2,745.76","3,240.00",DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Veg Food ,URBANPETS SERVICES PRIVATE LIMITED,12,Pedigree Adult 100% Veg 3KG,,0,0,740.00,740.00,501.72,592.03,DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,14,Pedigree Puppy Chicken  and  Rice Gravy 100Gm,,0,0,35.00,35.00,23.73,28.35,DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,15,PED Mother and Puppy 1.2KG,,0,0,500.00,500.00,269.31,337.50,DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,16,Pedigree Pro Active Adult 3KG,,2,0,"1,220.00","1,220.00",763.58,901.03,DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,17,Pedigree Pro Active Adult 20KG,,0,0,"6,930.00","6,930.00","4,404.66","4,404.66",DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,20,PED Puppy Chicken and Milk 15KG,,0,0,"2,780.00","2,780.00","1,884.75","2,224.01",DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Prescription Food ,URBANPETS SERVICES PRIVATE LIMITED,21,Pedigree Pro Adult Weight Management 3KG,,0,0,"1,200.00","1,200.00",743.65,877.51,DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,22,Pedigree Pro Active Adult 10KG,,0,0,"3,820.00","3,820.00","2,427.97","2,427.97",DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Veg Food ,URBANPETS SERVICES PRIVATE LIMITED,23,Pedigree Adult 100% Veg 1.2KG,,0,0,290.00,290.00,196.61,232.00,DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,24,Pedigree Adult Meat and Rice 1.2KG,,0,0,250.00,250.00,165.25,195.00,DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,25,Pedigree Adult Meat and Rice 10KG,,1,0,"2,150.00","2,150.00","1,518.36","1,518.36",DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,25,Pedigree Adult Meat and Rice 10KG,,1,0,"2,150.00","2,150.00","1,518.36","1,691.96",DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,29,PED Puppy Small Breed 3KG,,0,0,"1,000.00","1,000.00",538.64,635.60,DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Veg Food ,URBANPETS SERVICES PRIVATE LIMITED,30,Pedigree Puppy Milk and Veg 1.2KG,,0,0,330.00,330.00,223.39,263.60,DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,31,Pedigree Pro Mother and Pup Starter 3KG,,0,0,"1,520.00","1,520.00",966.10,"1,140.00",DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,32,Pedigree Adult Chicken and Veg 20KG,,0,0,"3,900.00","3,900.00","2,644.07","2,644.07",DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,34,Pedigree Adult Chicken and Veg 1.2KG,,0,0,310.00,310.00,189.15,223.20,DISTRIBUTION CENTER,Gujarat
Pedigree,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,38,Pedigree Pro Starter Mother and Pup large Breed 1.2KG,,0,0,640.00,640.00,406.79,480.01,DISTRIBUTION CENTER,Gujarat
