"Supplier Vs Items 
 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
Item code,Alias Name,Item name,Supplier Name,Discount %,Cost,Selling,MRP
,,,,,,,
1,,Pedigree Puppy Chicken and Milk 10KG,Jay Projects,0,"1,581.21","2,239.00","2,239.00"
1,,Pedigree Puppy Chicken and Milk 10KG,Shreeji Pet Shop,0,"1,494.59","2,239.00","2,239.00"
1,,Pedigree Puppy Chicken and Milk 10KG,Rana Enterprise,0,"1,688.14","2,490.00","2,490.00"
2,,Pedigree Pro  Adult Small Breed 3 Kg,Jay Projects,0,387.85,950.00,950.00
2,,Pedigree Pro  Adult Small Breed 3 Kg,Shreeji Pet Shop,0,750.96,"1,200.00","1,200.00"
2,,Pedigree Pro  Adult Small Breed 3 Kg,Rana Enterprise,0,760.00,"1,200.00","1,200.00"
3,,PED Chicken and Veg 3KG,Jay Projects,0,313.19,550.00,550.00
4,,Pedigree Puppy Chicken and Milk 15KG,Jay Projects,0,"2,400.00","3,540.00","3,540.00"
4,,Pedigree Puppy Chicken and Milk 15KG,Rana Enterprise,0,"2,400.00","3,540.00","3,540.00"
5,,Pedigree Pro Puppy Large Breed 1.2KG,Jay Projects,0,221.28,400.00,400.00
6,,PED Meat and  Rice 3KG,Jay Projects,0,316.00,535.00,535.00
7,,Pedigree pro puppy large breed 3 kg,Jay Projects,0,498.75,"1,050.00","1,050.00"
7,,Pedigree pro puppy large breed 3 kg,Shreeji Pet Shop,0,794.79,"1,270.00","1,270.00"
7,,Pedigree pro puppy large breed 3 kg,Rana Enterprise,0,775.42,"1,220.00","1,220.00"
10,,Pedigree Adult Meat and Veg 20KG,Jay Projects,0,"1,650.85","3,000.00","3,000.00"
12,,Pedigree Adult 100% Veg 3KG,Jay Projects,0,356.25,620.00,620.00
14,,Pedigree Puppy Chicken  and  Rice Gravy 100Gm,Jay Projects,0,24.03,35.00,35.00
15,,PED Mother and Puppy 1.2KG,Jay Projects,0,286.02,450.00,450.00
16,,Pedigree Pro Active Adult 3KG,Jay Projects,0,457.12,825.00,825.00
16,,Pedigree Pro Active Adult 3KG,Shreeji Pet Shop,0,763.36,"1,220.00","1,220.00"
16,,Pedigree Pro Active Adult 3KG,Rana Enterprise,0,775.53,"1,220.00","1,220.00"
17,,Pedigree Pro Active Adult 20KG,Jay Projects,0,"4,404.66","6,930.00","6,930.00"
17,,Pedigree Pro Active Adult 20KG,Shreeji Pet Shop,0,"4,337.71","6,930.00","6,930.00"
17,,Pedigree Pro Active Adult 20KG,Rana Enterprise,0,"4,404.66","6,930.00","6,930.00"
20,,PED Puppy Chicken and Milk 15KG,Jay Projects,0,"1,370.67","2,550.00","2,550.00"
21,,Pedigree Pro Adult Weight Management 3KG,Jay Projects,0,629.24,990.00,990.00
22,,Pedigree Pro Active Adult 10KG,Jay Projects,0,"2,427.97","3,820.00","3,820.00"
22,,Pedigree Pro Active Adult 10KG,Shreeji Pet Shop,0,"2,390.26","3,820.00","3,820.00"
22,,Pedigree Pro Active Adult 10KG,Rana Enterprise,0,"2,427.97","3,820.00","3,820.00"
23,,Pedigree Adult 100% Veg 1.2KG,Jay Projects,0,153.53,250.00,250.00
23,,Pedigree Adult 100% Veg 1.2KG,Rana Enterprise,0,244.07,360.00,360.00
24,,Pedigree Adult Meat and Rice 1.2KG,Jay Projects,0,128.96,210.00,210.00
25,,Pedigree Adult Meat and Rice 10KG,Jay Projects,0,"1,518.36","2,150.00","2,150.00"
25,,Pedigree Adult Meat and Rice 10KG,Shreeji Pet Shop,0,"1,434.16","2,150.00","2,150.00"
25,,Pedigree Adult Meat and Rice 10KG,Rana Enterprise,0,"1,620.34","2,390.00","2,390.00"
29,,PED Puppy Small Breed 3KG,Distributor,0,453.20,820.00,820.00
30,,Pedigree Puppy Milk and Veg 1.2KG,Jay Projects,0,149.36,260.00,260.00
31,,Pedigree Pro Mother and Pup Starter 3KG,Jay Projects,0,635.59,"1,200.00","1,200.00"
31,,Pedigree Pro Mother and Pup Starter 3KG,Rana Enterprise,0,966.10,"1,520.00","1,520.00"
32,,Pedigree Adult Chicken and Veg 20KG,Jay Projects,0,"2,644.07","3,900.00","3,900.00"
32,,Pedigree Adult Chicken and Veg 20KG,Just Dogs Spalon Private limited,0,"3,305.08","3,900.00","3,900.00"
32,,Pedigree Adult Chicken and Veg 20KG,Shreeji Pet Shop,0,"2,644.07","3,900.00","3,900.00"
32,,Pedigree Adult Chicken and Veg 20KG,Rana Enterprise,0,"2,949.15","4,350.00","4,350.00"
34,,Pedigree Adult Chicken and Veg 1.2KG,Jay Projects,0,132.14,230.00,230.00
38,,Pedigree Pro Starter Mother and Pup large Breed 1.2KG,Jay Projects,0,269.32,500.00,500.00
38,,Pedigree Pro Starter Mother and Pup large Breed 1.2KG,Rana Enterprise,0,406.79,640.00,640.00
39,,Pedigree Puppy Chicken and Milk 20KG,Jay Projects,0,"2,779.66","4,100.00","4,100.00"
39,,Pedigree Puppy Chicken and Milk 20KG,Shreeji Pet Shop,0,"2,736.85","4,100.00","4,100.00"
39,,Pedigree Puppy Chicken and Milk 20KG,Rana Enterprise,0,"2,779.66","4,100.00","4,100.00"
40,,Pedigree Pro Puppy Small Breed 1.2 KG,Jay Projects,0,242.39,450.00,450.00
41,,Pedigree Adult Lamb in Jelly 100G,Jay Projects,0,22.98,40.00,40.00
42,,Pedigree Adult Chicken and Veg 90G,Jay Projects,0,11.49,20.00,20.00
43,,Pedigree Pro Puppy Large Breed 20KG,Jay Projects,0,"4,550.85","7,160.00","7,160.00"
43,,Pedigree Pro Puppy Large Breed 20KG,Shreeji Pet Shop,0,"4,481.68","7,160.00","7,160.00"
43,,Pedigree Pro Puppy Large Breed 20KG,Rana Enterprise,0,"4,550.85","7,160.00","7,160.00"
44,,Pedigree Pro Puppy Small Breed 3KG,Jay Projects,0,538.64,"1,000.00","1,000.00"
45,,Pedigree pro Starter Mother and Pup  3 Kg,Jay Projects,0,966.10,"1,520.00","1,520.00"
45,,Pedigree pro Starter Mother and Pup  3 Kg,Shreeji Pet Shop,0,951.25,"1,520.00","1,520.00"
46,,Pedigree Puppy Chicken and Liver in Gravy 350gm,Jay Projects,0,117.20,204.00,204.00
46,,Pedigree Puppy Chicken and Liver in Gravy 350gm,Rana Enterprise,0,"1,016.95","1,500.00","1,500.00"
47,,Pedigree Tasty Bites Chewy Cubes Chunks Lamb 50g,Jay Projects,0,80.79,150.00,150.00
48,,1INCH X 5 SINGLE LEAD HEART,Jay Projects,0,91.92,160.00,160.00
49,,Pedigree Mini Jumbone Small Chicken and Lamb 160Gm,Jay Projects,0,63.56,100.00,100.00
50,,Pedigree Tasty Minis Cubes Puppy Chicken 125gm,Jay Projects,0,95.34,150.00,150.00
54,,Dog Socks Non Slip S-M 2Pcs Grey,ABK Imports Pvt. Ltd,0,116.53,295.00,295.00
55,,Name tag,Distributor,0,17.80,40.00,40.00
56,,Walker Active Protective Boots L-XL,ABK Imports Pvt. Ltd,0,805.08,"2,150.00","2,150.00"
