"Itemwise Storewise Transfer-OUT Detail 
 DATE : from 01-04-2024 11-09-2026 ; Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
TO date,To Branch code,TO branch name,Item code,Alias Name,Item name,Qty,Expiry date,Tax,Disc. Amount,Total amount,Branch Code,Branch from,Company ID,Company,Division ID,Division,GST Cess Amt,CGST TaxAmt,GST TaxAmt,IGST TaxAmt,SGST TaxAmt,Conversion unit
,,,,,,"150,681",,0.00,0.00,"55,388,183.03",,,,,,,0.00,"211,541.22","423,082.27",0.00,"211,541.22",
2024-04-02,32772,SHREEJI PET SHOP - MOTERA,7018,,Drools Adult Chicken and Egg 20KG,1,2026-02-25,0.00,0.00,"2,161.02",225,URBANPETS SERVICES PRIVATE LIMITED,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-02,225,SHREEJI PET SHOP - SATELLITE,7448,,Chicken Bacon Stick BBQ,3,2025-10-30,0.00,0.00,594.27,32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-02,225,SHREEJI PET SHOP - SATELLITE,7056,,Royal Canin Maxi Puppy 15kg,2,2024-09-21,0.00,0.00,"15,788.14",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-02,225,SHREEJI PET SHOP - SATELLITE,7322,,My Beau Vitamin & Mineral 300ML,2,2026-11-30,0.00,0.00,"1,484.54",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-02,225,SHREEJI PET SHOP - SATELLITE,2772,,My Beau Vision and Optics 300ML,2,2026-11-30,0.00,0.00,"2,186.32",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-02,225,SHREEJI PET SHOP - SATELLITE,7321,,My Beau Skin and Hair 300ML,3,2026-11-30,0.00,0.00,"3,279.48",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-02,225,SHREEJI PET SHOP - SATELLITE,7550,,Purepet Biscuits milk 800GM,2,2025-06-30,0.00,0.00,305.08,32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-02,225,SHREEJI PET SHOP - SATELLITE,7551,,Purepet Biscuits Mutton 800GM,2,2025-03-30,0.00,0.00,305.08,32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
