"Wastage/Damage Stock Report 
 DATE : from 01-04-2024 11-09-2026 ; Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
Company code,Division code,Company name,Division ID,Branch Name,Entry date,Wastage Qty,Current stock while wastage,Total cost
,,,,,,"3,956","5,165","975,392.57"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2025-03-31,43,43,"194,887.81"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2025-10-28,128,217,"60,386.45"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2025-11-06,1,393,"2,498.99"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2025-12-03,2,101,"2,928.50"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2025-12-20,2,2,"29,999.99"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-01-31,335,351,"85,106.20"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-02-04,1,4,126.57
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-03-17,19,19,"7,864.04"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-03-21,1,1,"8,114.39"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-03-24,1,1,"1,578.86"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-04-14,4,4,"1,935.04"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-04-18,2,2,457.71
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-05-07,97,166,"16,313.52"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-05-08,2,2,254.24
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-05-09,3,8,"8,197.26"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-05-12,1,1,"2,250.50"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-05-26,6,7,"19,178.91"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-06-03,10,21,"1,080.03"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-06-04,1,1,854.59
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-06-06,37,37,"3,230.84"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-06-17,5,5,"2,809.52"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-06-25,1,1,986.40
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-07-03,24,27,"6,533.29"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-07-25,1,1,"1,823.10"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-07-28,3,23,"6,759.93"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-08-05,4,4,"2,366.01"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-08-07,6,12,"5,991.80"
1,1,HEAD OFFICE,Main,URBAN PETS / MOTERA,2026-08-13,2,2,"3,899.99"
1,1,HEAD OFFICE,Main,URBANPETS SERVICES PRIVATE LIMITED,2024-04-06,9,14,"17,298.61"
1,1,HEAD OFFICE,Main,URBANPETS SERVICES PRIVATE LIMITED,2024-04-09,41,253,"10,333.63"
1,1,HEAD OFFICE,Main,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,804,991,"173,157.65"
1,1,HEAD OFFICE,Main,URBANPETS SERVICES PRIVATE LIMITED,2024-04-26,39,70,"21,675.40"
1,1,HEAD OFFICE,Main,URBANPETS SERVICES PRIVATE LIMITED,2025-01-27,"1,193","1,211","149,324.48"
1,1,HEAD OFFICE,Main,URBANPETS SERVICES PRIVATE LIMITED,2025-01-28,833,833,"55,046.23"
1,1,HEAD OFFICE,Main,URBANPETS SERVICES PRIVATE LIMITED,2026-01-31,295,337,"70,142.09"
