"MBQ Detail 
 Location : URBANPETS SERVICES PRIVATE LIMITED ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
BRANDS,DEPARTMENT,CATEGORY,Branch Name,Item name,Item alias,Current stock,Min Qty,Max Qty
,,,,,,,,
Aarya,"Treats, Biscuits & Chews ",Treats  ,URBANPETS SERVICES PRIVATE LIMITED,Aarya biscuit Veg 1 kg,,0,0,0
Aarya,"Treats, Biscuits & Chews ",Treats  ,URBANPETS SERVICES PRIVATE LIMITED,SM-113 Dog Bone 3 inch,,0,0,0
Aarya,"Treats, Biscuits & Chews ",Treats  ,URBANPETS SERVICES PRIVATE LIMITED,SM-115 Dog Bone 4 inch,,0,0,0
ABK,"Treats, Biscuits & Chews ",Treats  ,URBANPETS SERVICES PRIVATE LIMITED,Healthy TreatsJoint and HIp for Dogs and puppies 70Gm,,0,0,0
ABK,"Treats, Biscuits & Chews ",Treats  ,URBANPETS SERVICES PRIVATE LIMITED,Healthy TRats Skin and coat For Dogs and puppies 70 gm,,0,0,0
ABK,Grooming,"Brushes, scissors & Comb ",URBANPETS SERVICES PRIVATE LIMITED,Trimz scissors set 7 inches rose red,,0,0,0
ABK,Walk Essentials,Cage & Crates,URBANPETS SERVICES PRIVATE LIMITED,Capri 1 pet carrier dark grey,,0,0,0
ABK,Walk Essentials,Cage & Crates,URBANPETS SERVICES PRIVATE LIMITED,Capri 1 transport box XS light lilac,,0,0,0
ABK,Toys,Toys,URBANPETS SERVICES PRIVATE LIMITED,ABK EXO Micro Squeak Football Blue/Green,,0,0,0
ABK,Toys,Toys,URBANPETS SERVICES PRIVATE LIMITED,Regular TPR Bone - Transparent Light Blue,,0,0,0
ABK,Miscellaneous,Miscellaneous,URBANPETS SERVICES PRIVATE LIMITED,Hose of Dryer,,0,0,0
ABK,Accessories,Trimmer & Nail Cutter ,URBANPETS SERVICES PRIVATE LIMITED,Waterproof trimmer,,0,0,0
ABK,Miscellaneous,Miscellaneous,URBANPETS SERVICES PRIVATE LIMITED,UV Sterilizer Box,,0,0,0
ABK,Grooming,"Brushes, scissors & Comb ",URBANPETS SERVICES PRIVATE LIMITED,ABK Slicker Brush Double Sided 10 x 17 cm,,1,0,0
ABK,"Treats, Biscuits & Chews ",Treats  ,URBANPETS SERVICES PRIVATE LIMITED,Sea World Treats 80 gm,,0,0,0
ABK,Walk Essentials,Leash,URBANPETS SERVICES PRIVATE LIMITED,Premium Lead xs-s 1.20m/15 mm aqua,,0,0,0
ABK,Walk Essentials,Leash,URBANPETS SERVICES PRIVATE LIMITED,Premium Lead m-l 1.00m/20 mm sangria,,0,0,0
ABK,Walk Essentials,Leash,URBANPETS SERVICES PRIVATE LIMITED,Premium Lead m-l 1.00m/20 mm curry,,0,0,0
ABK,Walk Essentials,Leash,URBANPETS SERVICES PRIVATE LIMITED,Premium Lead m-l 1.00m/20 mm blush,,0,0,0
ABK,Walk Essentials,Leash,URBANPETS SERVICES PRIVATE LIMITED,Premium Lead m-l 1.00m/20 mm aqua,,0,0,0
ABK,Walk Essentials,Leash,URBANPETS SERVICES PRIVATE LIMITED,Premium Lead m-l 1.00m/20 mm indigo,,0,0,0
ABK,Walk Essentials,Leash,URBANPETS SERVICES PRIVATE LIMITED,Premium adjustable lead l-xl 2.00m/25 mm fuchsia,,1,0,0
ABK,Walk Essentials,Leash,URBANPETS SERVICES PRIVATE LIMITED,Premium adjustable lead l-xl 2.00m/25 mm graphite,,0,0,0
ABK,Walk Essentials,Leash,URBANPETS SERVICES PRIVATE LIMITED,Premium adjustable lead l-xl 2.00m/25 mm black,,0,0,0
ABK,Walk Essentials,Leash,URBANPETS SERVICES PRIVATE LIMITED,Premium adjustable lead l-xl 2.00m/25 mm red,,0,0,0
ABK,Walk Essentials,Leash,URBANPETS SERVICES PRIVATE LIMITED,Premium adjustable lead m-l 2.00m/20 mm red,,0,0,0
ABK,Walk Essentials,Leash,URBANPETS SERVICES PRIVATE LIMITED,Premium adjustable lead m-l 2.00m/20 mm graphite,,0,0,0
ABK,Walk Essentials,Leash,URBANPETS SERVICES PRIVATE LIMITED,Premium adjustable lead m-l 2.00m/20 mm fuchsia,,0,0,0
ABK,Walk Essentials,Leash,URBANPETS SERVICES PRIVATE LIMITED,Premium adjustable lead m-l 2.00m/20 mm forest,,1,0,0
ABK,"Treats, Biscuits & Chews ",Treats  ,URBANPETS SERVICES PRIVATE LIMITED,milky chew goat milk mini bones 500 gm,,0,0,0
ABK,"Treats, Biscuits & Chews ",Treats  ,URBANPETS SERVICES PRIVATE LIMITED,milky chew goat milk sticks 500 gm,,0,0,0
ABK,Hygiene,Towels & Wipes ,URBANPETS SERVICES PRIVATE LIMITED,Pawpaya pet wipes 15 pull pack,,0,0,0
ABK,Toys,Toys,URBANPETS SERVICES PRIVATE LIMITED,Little Hat jute fabric catnip 9 cm,,0,0,0
ABK,Toys,Toys,URBANPETS SERVICES PRIVATE LIMITED,Bionic Toss  n tug ring 22.7 cm,,0,0,0
ABK,Toys,Toys,URBANPETS SERVICES PRIVATE LIMITED,Bionic Bone small 9.5 cm,,0,0,0
ABK,Toys,Toys,URBANPETS SERVICES PRIVATE LIMITED,Tennis Ball 6 cm,,0,0,0
ABK,Toys,Toys,URBANPETS SERVICES PRIVATE LIMITED,Cooling Bone 11 cm,,0,0,0
ABK,Toys,Toys,URBANPETS SERVICES PRIVATE LIMITED,Cat Rope Hamp 15 cm,,0,0,0
Absorption,Hygiene,Towels & Wipes ,URBANPETS SERVICES PRIVATE LIMITED,Absorption Towel - Green,,0,0,0
Absorption,Hygiene,Towels & Wipes ,URBANPETS SERVICES PRIVATE LIMITED,Absorption Towel - Yellow,,0,0,0
Absorption,Hygiene,Towels & Wipes ,URBANPETS SERVICES PRIVATE LIMITED,Absorption Towel - Pink,,0,0,0
Absorption,Hygiene,Towels & Wipes ,URBANPETS SERVICES PRIVATE LIMITED,Absorption Towel - Purple,,0,0,0
Absorption,Hygiene,Towels & Wipes ,URBANPETS SERVICES PRIVATE LIMITED,Absorption Towel,,2,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana prairie poutry 17 kg,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Grass Fed Lamb 6KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Grass Fed Lamb 340G,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Grass Fed Lamb 2KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Free Run Duck  6KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Puppy and Junior Food 11.4KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Puppy and Junior Food 6KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Puppy Large Breed 11.4KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Free Run Duck 11.4KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Puppy Large Breed 17KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Grass Fed Lamb 11.4KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Light and Fit 6KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Pacifica Cat Food 340G,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Free Run Duck 2KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Free Run Duck 340G,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Light and Fit 340G,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Puppy and Junior Food 340G,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Adult Small Breed 2KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Light and Fit 2KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Puppy Small Breed 2KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Adult Large Breed 17KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Light and Fit 11.4KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Classic Wild Coast 2KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Adult Small Breed 340G,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Adult Small Breed 6KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Adult Large Breed 11.4KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Classic Wild Coast 340G,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Classic Prairie Poultry 340G,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Puppy and Junior Food 2KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Classic Wild Coast 6KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Classic Prairie Poultry 6KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Classic Wild Coast 11.4KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Classic Wild Coast 17KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Classic Prairie Poultry 11.4KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Puppy Small Breed 6KG,,0,0,0
Acana,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Acana Puppy Small Breed 340G,,0,0,0
Aimil,Medicine & Supplements ,Medicine ,URBANPETS SERVICES PRIVATE LIMITED,Jufex pet liq 200ml,,0,0,0
Andis,Accessories,Trimmer & Nail Cutter ,URBANPETS SERVICES PRIVATE LIMITED,Andis Nail Clipper Large Lime Green,,0,0,0
Andis,Accessories,Trimmer & Nail Cutter ,URBANPETS SERVICES PRIVATE LIMITED,Pm-1 12 Pieces Adjustable Blade Clipper Kit Black,,0,0,0
Andis,Grooming,"Brushes, scissors & Comb ",URBANPETS SERVICES PRIVATE LIMITED,Andis Medium Pin Brush W-L Green,,0,0,0
Andis,Grooming,"Brushes, scissors & Comb ",URBANPETS SERVICES PRIVATE LIMITED,Andis 7-1-2 Inch Steel Comb,,0,0,0
Andis,Grooming,"Brushes, scissors & Comb ",URBANPETS SERVICES PRIVATE LIMITED,Andis Deshedding Tool,,0,0,0
Andis,Grooming,"Brushes, scissors & Comb ",URBANPETS SERVICES PRIVATE LIMITED,Andis Self Cleaning Slicker Brush W-L Green,,0,0,0
Andis,Grooming,"Brushes, scissors & Comb ",URBANPETS SERVICES PRIVATE LIMITED,Andis Flea Comb White/Lime Green,,0,0,0
Andis,Grooming,"Brushes, scissors & Comb ",URBANPETS SERVICES PRIVATE LIMITED,Andis Deshedding Tool W-L Green,,0,0,0
Andis,Grooming,"Brushes, scissors & Comb ",URBANPETS SERVICES PRIVATE LIMITED,10inch 250mm Steel Comb,,1,0,0
Andis,Grooming,"Brushes, scissors & Comb ",URBANPETS SERVICES PRIVATE LIMITED,Andis Large Pin Brush Lime Green,,0,0,0
Andis,Grooming,"Brushes, scissors & Comb ",URBANPETS SERVICES PRIVATE LIMITED,Andis Medium Firm Slicker Brush W-L Green,,0,0,0
Andis,Accessories,Trimmer & Nail Cutter ,URBANPETS SERVICES PRIVATE LIMITED,Andis Clipper Oil For Blades,,0,0,0
Andis,Grooming,"Brushes, scissors & Comb ",URBANPETS SERVICES PRIVATE LIMITED,Flexible Dog Rake White/Lime Green,,0,0,0
Andis,Grooming,"Brushes, scissors & Comb ",URBANPETS SERVICES PRIVATE LIMITED,Andis Large Firm Slicker Brush Lime green,,0,0,0
Andis,Accessories,Trimmer & Nail Cutter ,URBANPETS SERVICES PRIVATE LIMITED,Andis DBLC-2 Pulse ZR II Clipper - Wild,,0,0,0
Andis,Grooming,"Brushes, scissors & Comb ",URBANPETS SERVICES PRIVATE LIMITED,Andis Medium Firm Slicker Brush Lime Green,,2,0,0
Andis,Accessories,Trimmer & Nail Cutter ,URBANPETS SERVICES PRIVATE LIMITED,Andis Ceramic Edge Blade Size 10,,0,0,0
Andis,Accessories,Trimmer & Nail Cutter ,URBANPETS SERVICES PRIVATE LIMITED,Andis Ceramic Edge Blade Size 7FC,,0,0,0
Applaws,Cat Food,Treats  ,URBANPETS SERVICES PRIVATE LIMITED,Applaws Cat treat Whole Tuna Loin 30gm,,0,0,0
Applaws,Cat Food,Treats  ,URBANPETS SERVICES PRIVATE LIMITED,Applaws Cat Treat Whole Mackerel Loin 30gm,,0,0,0
Applaws,Cat Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,Applaws Cat Tin Tuna Fillet Gravy 70G,,0,0,0
Applaws,Cat Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,Applaws Tuna Fillet with Pacific Prawn 70G,,0,0,0
Applaws,Cat Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,Applaws Cat Tin Tuna With Crab Gravy 70G,,0,0,0
Applaws,Cat Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,Applaws Cat Tin Ocean Fish Gravy 70G,,0,0,0
Applaws,Cat Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,Applaws Chicken Breast Pumpkin Wild Rice 70gm,,0,0,0
Applaws,Cat Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,Applaws Chicken Breast with Liver in Jelly 70G,,0,0,0
Applaws,Cat Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,Applaws Tuna with Salmon in Tasty Jelly 70G,,0,0,0
Applaws,Cat Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,Applaws Kitten Tuna In Jelly 70G,,0,0,0
Applaws,Cat Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,Applaws Tuna Fillet with Whole Anchovy Jelly 70G,,0,0,0
Applaws,Cat Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,Applaws Cat Tin Sardine with Shrimp in Tasty Jelly 70G,,0,0,0
Applaws,Cat Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,Applaws Cat Tin Plain Salmon Mousse Jelly 70G,,0,0,0
Applaws,Cat Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,Applaws Tuna With Mackerel In Jelly 70G,,0,0,0
Applaws,Cat Food,Wet Food ,URBANPETS SERVICES PRIVATE LIMITED,Applaws Cat Tin Plain Tuna Mousse Jelly 70G,,0,0,0
Apro,Cat Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Apro Cat 20kg,,0,0,0
Apro,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Apro Dog 20 Kg,,4,0,0
Apro,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,Apro Dog 500gm,,0,0,0
Ar Industries,Grooming,"Brushes, scissors & Comb ",URBANPETS SERVICES PRIVATE LIMITED,Soft brush 19 cm,,0,0,0
Ar Industries,Toys,Toys,URBANPETS SERVICES PRIVATE LIMITED,Bone Dispenser 12cm Toy,,0,0,0
Ar Industries,Grooming,Dry Bath & Perfumes ,URBANPETS SERVICES PRIVATE LIMITED,Natural Oil Skin Care 50 ML,,0,0,0
Ar Industries,Hygiene,Towels & Wipes ,URBANPETS SERVICES PRIVATE LIMITED,Pet Wipes,ARWP01,0,0,0
Ar Industries,Clothing ,T-shirts ,URBANPETS SERVICES PRIVATE LIMITED,AR T-Shirt 10,ARTS10,0,0,0
