"Stock Update Detail 
 DATE : from 01-04-2024 11-09-2026 ; Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
Stock update no.,Stock update date,Approved Date,Item code,Item name,HSN Code,Alias Name,Batch no,Physical Qty,Actual Qty,Difference Qty,Status,Landing cost,MRP,Selling,Cost amount,Selling amount,Expiry date,Brand code,ERP code,Brand name,Issue format,Reason,Source,Remarks,Conversion unit,Message,Business Type,Branch Code,Branch Name,State
,,,,,,,,,,,,,,,"1,727,073.1","2,928,020.1",,,,,,,,,,,,,,
515,2024-04-01,2024-04-01,7135,N and D GF PKN CP Puppy Med-Maxi 12Kg,23091000,,,0,1,-1,Approved & Adjusted,"4,936.00","9,590.00","9,590.00","-4,936.00","-9,590.00",2024-10-30,140,urbanpets,N & D, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
516,2024-04-01,2024-04-01,7135,N and D GF PKN CP Puppy Med-Maxi 12Kg,23091000,,,1,0,1,Approved & Adjusted,"4,936.00","9,590.00","9,590.00","4,936.00","9,590.00",2024-10-30,140,urbanpets,N & D, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
517,2024-04-02,2024-04-02,4238,DR  Purepet Treat Chicken 1KG Flavour Jar,23091000,,,0,15,-15,Approved & Adjusted,135.00,199.00,199.00,"-2,025.00","-2,985.00",2025-09-25,67,,Drools, ,,GoSure,.,UNIT,.,BRANCH,32772,URBAN PETS / MOTERA,Gujarat
517,2024-04-02,2024-04-02,6660,Purepet Treat Combo 800 Gm,1111,,,0,7,-7,Approved & Adjusted,105.51,300.00,300.00,-738.57,"-2,100.00",2099-12-12,188,,Purepet, ,,GoSure,.,UNIT,.,BRANCH,32772,URBAN PETS / MOTERA,Gujarat
517,2024-04-02,2024-04-02,6660,Purepet Treat Combo 800 Gm,1111,,,0,8,-8,Approved & Adjusted,105.51,300.00,300.00,-844.08,"-2,400.00",2025-08-30,188,,Purepet, ,,GoSure,.,UNIT,.,BRANCH,32772,URBAN PETS / MOTERA,Gujarat
518,2024-04-03,2024-04-03,10597,Vitax Ship & Shape Wipes,34011190,,,10,3,7,Approved & Adjusted,270.00,450.00,450.00,"1,890.00","3,150.00",2026-12-30,270,urbanpets,Vitax, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
519,2024-04-03,2024-04-03,7149,Vet Life Dog Renal Wet Food 300G,23091000,,,5,1,4,Approved & Adjusted,207.50,459.00,459.00,830.00,"1,836.00",2026-07-30,230,urbanpets,Vet Life, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
520,2024-04-03,2024-04-03,4622,Gnawlers Hearty Roll 9 inch,23091000,,,0,8,-8,Approved & Adjusted,61.01,120.00,120.00,-488.08,-960.00,2099-12-12,93,,Gnawlers, ,,GoSure,.,UNIT,.,BRANCH,32772,URBAN PETS / MOTERA,Gujarat
