"Categorywise Stock Age Analysis 
 DATE : from 01-09-2026 11-09-2026 ; Show Amount : Purchase Net ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
 name,<30 days,<30 days value,>30_to_<60 days,>30_to_<60 days value,>60_to_<90 days,>60_to_<90 days value,>90_to_<120 days,>90_to_<120 days value,>120 days,>120 days value,Total,Total stock value
,,,,,,,,,,,,
Aarya,0,0,0,0,47,"2,191",0,0,0,0,47,"2,190.67"
ABK,0,0,3,"3,562",9,519,0,0,47,"22,265",59,"26,345.95"
Absorption,27,"4,284",0,0,0,0,0,0,0,0,27,"4,284.43"
Acana,0,0,0,0,3,"7,437",0,0,0,0,3,"7,437.03"
Andis,0,0,0,0,0,0,0,0,9,"7,970",9,"7,969.68"
Applaws,24,"3,844",0,0,0,0,0,0,8,684,32,"4,527.92"
Apro,24,"44,924",0,0,0,0,11,515,0,0,35,"45,438.92"
Ar Industries,0,0,0,0,0,0,9,0,22,"4,625",31,"4,624.76"
Areionvet,0,0,0,0,70,"16,287",57,"5,130",16,"9,541",143,"30,957.90"
Arm and Hammer,0,0,0,0,8,"1,541",0,0,15,"5,910",23,"7,451.64"
Aroma ,0,0,0,0,0,0,0,0,5,763,5,763.15
Assurem,0,0,0,0,20,"2,571",0,0,13,871,33,"3,442.01"
Atinav,0,0,0,0,0,0,2,"1,525",0,0,2,"1,525.42"
Bark Out Loud,0,0,0,0,84,"9,628",0,0,26,"2,618",110,"12,246.44"
Barkbutler,0,0,0,0,0,0,0,0,10,"2,386",10,"2,386.31"
Beaphar,10,"4,886",9,"5,715",9,"2,790",0,0,5,"2,058",33,"15,448.98"
Beeps,0,0,0,0,0,0,0,0,3,"1,427",3,"1,427.39"
Bellota,0,0,0,0,0,0,0,0,100,"2,785",100,"2,784.72"
BentySandy,3,"5,200",0,0,0,0,0,0,0,0,3,"5,199.99"
Best Clean,9,"8,988",0,0,0,0,0,0,2,429,11,"9,416.70"
