"Categorywise Datewise stock Report 
 DATE : from 01-09-2026 11-09-2026 ; Show Amount : Purchase Net , Stock Class : Balance Sheet , Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
BRANDS,DEPARTMENT,CATEGORY,Store ID,Tran. Date,Store,Opening stock,Opening stk. Amount,RN Qty,RN item amount,Purchase Qty,Purchase item amount,Transfer in Qty,Transfer in item amount,Purchase return qty.,Purchase return item amount,Transfer out Qty,Transfer out item amount,Sales return qty.,Sales return item amount,Stock update,Stock update item amount,Sales DN Qty,Sales DN amount,Sale Qty,Sales item amount,Repack Qty,Repack amount,Bulk Qty,Bulk amount,Conv. Loss qty.,Conv. Loss amount,Wastage,Wastage amount,Theft,Theft amount,Damage,Damage amount,Stock conversion,Stock conversion amount,SDN Return Quantity,SDN Return amount
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aarya,"Treats, Biscuits & Chews ",Treats  ,32772,2026-09-07,URBAN PETS / MOTERA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-1,-46.61,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Aarya,"Treats, Biscuits & Chews ",Treats  ,32772,2026-09-04,URBAN PETS / MOTERA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-3,-139.83,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Aarya,"Treats, Biscuits & Chews ",Treats  ,32772,2026-09-02,URBAN PETS / MOTERA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-10,-466.10,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
ABK,"Treats, Biscuits & Chews ",Treats  ,32772,2026-09-03,URBAN PETS / MOTERA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-1,-325.87,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
ABK,"Treats, Biscuits & Chews ",Treats  ,32772,2026-09-04,URBAN PETS / MOTERA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-2,-651.74,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
ABK,"Treats, Biscuits & Chews ",Treats  ,225,2026-09-04,URBANPETS SERVICES PRIVATE LIMITED,0,0.00,0,0.00,0,0.00,2,651.74,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-2,-651.74,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Absorption,Hygiene,Towels & Wipes ,32772,2026-09-06,URBAN PETS / MOTERA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-1,-185.71,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Absorption,Hygiene,Towels & Wipes ,32772,2026-09-08,URBAN PETS / MOTERA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-2,-305.08,0,0.00,0,0.00,0,0.00,-2,-305.08,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
