"Closing Stock 
 DATE : As On 02-09-2026 ; Show Amount : Purchase Net , Stock Class : Balance Sheet , Location : URBANPETS SERVICES PRIVATE LIMITED ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
Store ID,Store,Item code,Cat1 name,ISBN,Item name,Cat1 code,Status,Net cost,Closing stock,Closing stock amount,Batch no,Item alias,Cat2 code,Cat2 name,Cat3_Code,Cat3_Name,Brand code,Brand name,Expiry date,HSN Code,Old Batch No,Old Expiry Date,Old MFR Date,MRP
,,,,,,,,"21,679,293.7","21,192","3,058,603.71",,,,,,,,,,,,,,
225,URBANPETS SERVICES PRIVATE LIMITED,1,Pedigree,8906002485031,Pedigree Puppy Chicken and Milk 10KG,160,Active,"1,688.14",2,"3,376.28",OS1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OS1,2099-12-12,,"1,675.00"
225,URBANPETS SERVICES PRIVATE LIMITED,4,Pedigree,,Pedigree Puppy Chicken and Milk 15KG,160,Active,"2,304.00",3,"6,912.00",OS1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OS1,2099-12-12,,"2,450.00"
225,URBANPETS SERVICES PRIVATE LIMITED,17,Pedigree,,Pedigree Pro Active Adult 20KG,160,Active,"4,228.47",1,"4,228.47",OS1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OS1,2099-12-12,,"5,000.00"
225,URBANPETS SERVICES PRIVATE LIMITED,25,Pedigree,8906002487769,Pedigree Adult Meat and Rice 10KG,160,Active,"1,399.97",4,"5,599.88",OS1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OS1,2099-12-12,,"1,650.00"
225,URBANPETS SERVICES PRIVATE LIMITED,39,Pedigree,8906002482719,Pedigree Puppy Chicken and Milk 20KG,160,Active,"2,974.37",2,"5,948.74",OS1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OS1,2099-12-12,,"1,999.00"
225,URBANPETS SERVICES PRIVATE LIMITED,60,Trixie,,Walker Active Boots M-L,214,Active,769.08,1,769.08,60-1,,243,Accessories,301,Shoes & Shocks ,218,Trixie,,42010000,60-1,,,"1,950.00"
225,URBANPETS SERVICES PRIVATE LIMITED,63,Protex,897515001017,Protex PawZ XX-Small- Yellow,181,Active,699.15,0,0.00,63-1,,243,Accessories,301,Shoes & Shocks ,185,Protex,,42010000,63-1,,,"1,650.00"
225,URBANPETS SERVICES PRIVATE LIMITED,124,Manufacturer,,Bone Rainbow Tag,123,Active,283.50,0,0.00,124-1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,124-1,,,"1,000.00"
225,URBANPETS SERVICES PRIVATE LIMITED,209,Trixie,4053032407428,"Lifting Aid L 65-80cm, Black",214,Active,994.66,0,0.00,209-1,,243,Accessories,287,Lifting Harness ,218,Trixie,,42010000,209-1,,,"2,200.00"
225,URBANPETS SERVICES PRIVATE LIMITED,244,Pawsindia,,PW Walkers XXL,156,Active,931.74,0,0.00,244-1,,243,Accessories,301,Shoes & Shocks ,160,Pawsindia,,42010000,244-1,,,"1,999.00"
225,URBANPETS SERVICES PRIVATE LIMITED,246,Andis,40102657153,Andis Medium Pin Brush W-L Green,2,Active,463.77,1,463.77,246-1,,251,Grooming,266,"Brushes, scissors & Comb ",7,Andis,,96039000,246-1,,,975.00
225,URBANPETS SERVICES PRIVATE LIMITED,315,Kennel,,A68 Tuff Rubber Gloves 9 Inch,105,Inactive,323.94,2,647.88,315-1,,243,Accessories,292,Others ,110,Kennel  ,,40161000,315-1,,,480.00
225,URBANPETS SERVICES PRIVATE LIMITED,321,Manufacturer,,E collar 4 No,123,Active,156.78,13,"2,038.14",321-1,,243,Accessories,279,E-collar & Muzzle ,136,Misc,,39269099,321-1,,,330.00
225,URBANPETS SERVICES PRIVATE LIMITED,325,Trixie,,E collar 5 No,214,Active,139.83,10,"1,398.30",325-1,,243,Accessories,279,E-collar & Muzzle ,218,Trixie,,39269099,325-1,,,300.00
225,URBANPETS SERVICES PRIVATE LIMITED,326,Trixie,,E collar 3 No,214,Active,169.49,11,"1,864.39",326-1,,243,Accessories,279,E-collar & Muzzle ,218,Trixie,,39269099,326-1,,,360.00
225,URBANPETS SERVICES PRIVATE LIMITED,327,Trixie,,E collar 1 No,214,Active,220.34,21,"4,627.14",327-1,,243,Accessories,279,E-collar & Muzzle ,218,Trixie,,39269099,327-1,,,450.00
225,URBANPETS SERVICES PRIVATE LIMITED,329,M-Pets,,M-Pets Waste Bags Dispenser (Dual/ Black ) Includes 2X15 Bags,120,Active,126.69,2,253.38,329-1,,243,Accessories,292,Others ,125,M-Pets,,39269099,329-1,,,275.00
225,URBANPETS SERVICES PRIVATE LIMITED,372,Smartypet,,SP E-Collar Velcro No.5,202,Active,139.83,4,559.32,372-1,,243,Accessories,279,E-Collar & Muzzle ,206,Smartypet,,39269091,372-1,,,220.00
225,URBANPETS SERVICES PRIVATE LIMITED,373,Smartypet,,SP E-Collar Velcro No.8,202,Active,67.80,0,0.00,373-1,,243,Accessories,279,E-Collar & Muzzle ,206,Smartypet,,39269091,373-1,,,160.00
225,URBANPETS SERVICES PRIVATE LIMITED,393,M-Pets,,M-Pets Soft Muzzle Small,120,Active,168.82,1,168.82,393-1,,243,Accessories,279,E-collar & Muzzle ,125,M-Pets,,63079099,393-1,,,499.00
225,URBANPETS SERVICES PRIVATE LIMITED,409,Lana Paws,,Bandana Mix R S-M-L,114,Active,166.67,0,0.00,409-1,,243,Accessories ,263,Bow Ties & Bandanas ,119,Lana Paws,,61101110,409-1,,,350.00
225,URBANPETS SERVICES PRIVATE LIMITED,410,Lana Paws,,Bandana Mix S-M-L,114,Active,214.29,0,0.00,410-1,,243,Accessories ,263,Bow Ties & Bandanas ,119,Lana Paws,,61101110,410-1,,,450.00
225,URBANPETS SERVICES PRIVATE LIMITED,446,Dog O Bow,NE100041,DOB Tuxedo Vest Bandana(S),57,Active,237.76,0,0.00,446-1,,243,Accessories ,263,Bow Ties & Bandanas ,62,Dog O Bow,,62011990,446-1,,,499.00
225,URBANPETS SERVICES PRIVATE LIMITED,447,Dog O Bow,NE100042,DOB Tuxedo Vest Bandana(M),57,Active,285.40,1,285.40,447-1,,243,Accessories ,263,Bow Ties & Bandanas ,62,Dog O Bow,,62011990,447-1,,,499.00
225,URBANPETS SERVICES PRIVATE LIMITED,448,Dog O Bow,NE100043,DOB Tuxedo Vest Bandana(L),57,Active,333.05,0,0.00,448-1,,243,Accessories ,263,Bow Ties & Bandanas ,62,Dog O Bow,,62011990,448-1,,,699.00
225,URBANPETS SERVICES PRIVATE LIMITED,449,Dog O Bow,NE100044,DOB Tuxedo Vest Bandana(XL),57,Active,333.05,0,0.00,449-1,,243,Accessories ,263,Bow Ties & Bandanas ,62,Dog O Bow,,62011990,449-1,,,699.00
225,URBANPETS SERVICES PRIVATE LIMITED,476,Andis,40102657009,Andis Nail Clipper Large Lime Green,2,Active,553.32,3,"1,659.96",476-1,,243,Accessories,308,Trimmer & Nail Cutter ,7,Andis,,82142010,476-1,,,"1,225.00"
225,URBANPETS SERVICES PRIVATE LIMITED,480,Manufacturer,,E collar 6 No,123,Active,84.75,4,339.00,480-1,,243,Accessories,279,E-collar & Muzzle ,1,Manufacturer,,39269099,480-1,,,140.00
225,URBANPETS SERVICES PRIVATE LIMITED,481,Manufacturer,,E collar 2 No,123,Active,190.68,4,762.72,481-1,,243,Accessories,279,E-collar & Muzzle ,1,Manufacturer,,39269099,481-1,,,370.00
225,URBANPETS SERVICES PRIVATE LIMITED,555,Vetina ,,Soft Coat Sus,229,Active,203.39,4,813.56,555-1,,253,Medicine & Supplements ,302,Supplements ,233,Vetina ,,23099090,555-1,,,380.00
