"Closing Stock 
 DATE : As On 02-09-2026 ; Show Amount : Purchase Net , Stock Class : Balance Sheet , Location : URBAN PETS / MOTERA ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
Store ID,Store,Item code,Cat1 name,ISBN,Item name,Cat1 code,Status,Net cost,Closing stock,Closing stock amount,Batch no,Item alias,Cat2 code,Cat2 name,Cat3_Code,Cat3_Name,Brand code,Brand name,Expiry date,HSN Code,Old Batch No,Old Expiry Date,Old MFR Date,MRP
,,,,,,,,"27,165,725.6","50,186","7,451,010.29",,,,,,,,,,,,,,
32772,URBAN PETS / MOTERA,1709,Acana,064992571603,Acana Free Run Duck  6KG,1,Active,"4,329.89",3,"12,989.67",1709-1,,249,Dog Food,278,Dry Food ,6,Acana,2099-12-12,23091000,1709-1,2099-12-12,,"3,999.00"
32772,URBAN PETS / MOTERA,7014,Drools,8906043149152,Drools Puppy Gravy 150GM,62,Active,14.83,"1,157","17,158.31",OP1,,249,Dog Food,314,Wet Food ,67,Drools,2099-12-12,23091000,OP1,2099-12-12,,25.00
32772,URBAN PETS / MOTERA,844,Whiskas,8853301015981,Whiskas Chicken kitten Gravy  80Gm,239,Active,23.49,960,"22,550.40",OP1,,247,Cat Food,314,Wet Food ,243,Whiskas,2099-12-12,23091000,OP1,2099-12-12,,30.00
32772,URBAN PETS / MOTERA,7020,Drools,8906043149145,Drools Adult Gravy 150GM,62,Active,74.15,601,"44,564.15",OP1,,249,Dog Food,314,Wet Food ,67,Drools,2099-12-12,23091000,OP1,2099-12-12,,35.00
32772,URBAN PETS / MOTERA,1,Pedigree,8906002485031,Pedigree Puppy Chicken and Milk 10KG,160,Active,"1,688.14",7,"11,816.98",OP1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,"1,675.00"
32772,URBAN PETS / MOTERA,4,Pedigree,,Pedigree Puppy Chicken and Milk 15KG,160,Active,"2,304.00",10,"23,040.00",OP1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,"2,450.00"
32772,URBAN PETS / MOTERA,6,Pedigree,,PED Meat and  Rice 3KG,160,Active,420.34,1,420.34,OP1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,535.00
32772,URBAN PETS / MOTERA,7,Pedigree,8906002484577,Pedigree pro puppy large breed 3 kg,160,Active,807.20,18,"14,529.60",OP1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,"1,050.00"
32772,URBAN PETS / MOTERA,10,Pedigree,,Pedigree Adult Meat and Veg 20KG,160,Active,"2,745.76",1,"2,745.76",OP1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,"3,000.00"
32772,URBAN PETS / MOTERA,12,Pedigree,,Pedigree Adult 100% Veg 3KG,160,Inactive,501.72,1,501.72,OP1,,249,Dog Food,311,Veg Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,620.00
32772,URBAN PETS / MOTERA,16,Pedigree,,Pedigree Pro Active Adult 3KG,160,Inactive,775.53,9,"6,979.77",OP1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,825.00
32772,URBAN PETS / MOTERA,22,Pedigree,,Pedigree Pro Active Adult 10KG,160,Active,"2,427.97",9,"21,851.73",OP1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,"3,000.00"
32772,URBAN PETS / MOTERA,23,Pedigree,,Pedigree Adult 100% Veg 1.2KG,160,Inactive,244.07,18,"4,393.26",OP1,,249,Dog Food,311,Veg Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,250.00
32772,URBAN PETS / MOTERA,38,Pedigree,8906002483686,Pedigree Pro Starter Mother and Pup large Breed 1.2KG,160,Active,406.78,3,"1,220.34",OP1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,500.00
32772,URBAN PETS / MOTERA,39,Pedigree,8906002482719,Pedigree Puppy Chicken and Milk 20KG,160,Active,"2,974.37",6,"17,846.22",OP1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,"1,999.00"
32772,URBAN PETS / MOTERA,40,Pedigree,,Pedigree Pro Puppy Small Breed 1.2 KG,160,Active,343.22,4,"1,372.88",OP1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,450.00
32772,URBAN PETS / MOTERA,43,Pedigree,8902433002137,Pedigree Pro Puppy Large Breed 20KG,160,Active,"4,550.85",9,"40,957.65",OP1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,"5,600.00"
32772,URBAN PETS / MOTERA,44,Pedigree,,Pedigree Pro Puppy Small Breed 3KG,160,Active,653.66,2,"1,307.32",OP1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,"1,000.00"
32772,URBAN PETS / MOTERA,45,Pedigree,8906002483709,Pedigree pro Starter Mother and Pup  3 Kg,160,Active,889.83,7,"6,228.81",OP1,,249,Dog Food,278,Dry Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,"1,200.00"
32772,URBAN PETS / MOTERA,46,Pedigree,,Pedigree Puppy Chicken and Liver in Gravy 350gm,160,Active,115.24,30,"3,457.20",OP1,,249,Dog Food,314,Wet Food ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,204.00
32772,URBAN PETS / MOTERA,47,Pedigree,,Pedigree Tasty Bites Chewy Cubes Chunks Lamb 50g,160,Inactive,91.53,0,0.00,OP1,,257,"Treats, Biscuits & Chews ",307,Treats  ,164,Pedigree,2099-12-12,23091000,OP1,2099-12-12,,150.00
32772,URBAN PETS / MOTERA,54,Trixie,4011905195025,Dog Socks Non Slip S-M 2Pcs Grey,214,Active,138.87,6,833.22,OP1,,243,Accessories,301,Shoes & Shocks ,218,Trixie,,42010000,OP1,,,295.00
32772,URBAN PETS / MOTERA,57,Trixie,,Walker Active Protective Boots L,214,Active,815.68,1,815.68,OP1,,243,Accessories,301,Shoes & Shocks ,218,Trixie,,42010000,OP1,,,"1,995.00"
32772,URBAN PETS / MOTERA,60,Trixie,,Walker Active Boots M-L,214,Active,769.08,4,"3,076.32",OP1,,243,Accessories,301,Shoes & Shocks ,218,Trixie,,42010000,OP1,,,"1,950.00"
32772,URBAN PETS / MOTERA,63,Protex,897515001017,Protex PawZ XX-Small- Yellow,181,Active,699.15,0,0.00,OP1,,243,Accessories,301,Shoes & Shocks ,185,Protex,,42010000,OP1,,,"1,650.00"
32772,URBAN PETS / MOTERA,70,M-Pets,6953182717928,M-Pets Puppy Pad Holder,120,Active,974.15,3,"2,922.45",OP1,,243,Accessories,265,Bowl Mat & Litter Tray ,125,M-Pets,,39269091,OP1,,,"2,199.00"
32772,URBAN PETS / MOTERA,71,M-Pets,5415341002852,M-Pets Dog Waste Bags Lemon 4x15 bags,120,Active,105.93,11,"1,165.23",OP1,,243,Accessories,292,Others ,125,M-Pets,,39269099,OP1,,,240.00
32772,URBAN PETS / MOTERA,85,Manufacturer,,Small Heart Gold Tag,123,Active,202.50,2,405.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,500.00
32772,URBAN PETS / MOTERA,94,Manufacturer,,Large Bone Designer Alluminium Tag,123,Active,106.78,1,106.78,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,330.00
32772,URBAN PETS / MOTERA,96,Manufacturer,,Large Bone Epoxy Gold-Bronze Glitter,123,Active,650.14,6,"3,900.84",OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,"1,020.00"
32772,URBAN PETS / MOTERA,97,Manufacturer,,Large Bone Epoxy Black- Gold,123,Active,649.98,7,"4,549.86",OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,"1,020.00"
32772,URBAN PETS / MOTERA,98,Manufacturer,,Bone Blue Hologram Inset,123,Active,430.06,5,"2,150.30",OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,"1,020.00"
32772,URBAN PETS / MOTERA,99,Manufacturer,,Bone Red Hologram Inset,123,Active,430.05,4,"1,720.20",OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,"1,020.00"
32772,URBAN PETS / MOTERA,100,Manufacturer,,Small Circle VIP Tag,123,Active,202.50,3,607.50,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,530.00
32772,URBAN PETS / MOTERA,101,Manufacturer,,Large Bone Garfield Odie Tag,123,Active,445.03,3,"1,335.09",OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,780.00
32772,URBAN PETS / MOTERA,102,Manufacturer,,Heart Large Red W-White Paws,123,Active,202.50,1,202.50,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,530.00
32772,URBAN PETS / MOTERA,103,Manufacturer,,Heart Large Raised Edge Purple with Flowers tag,123,Active,202.50,1,202.50,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,530.00
32772,URBAN PETS / MOTERA,104,Manufacturer,,Small Bone Neon Pink Epoxy,123,Active,387.00,0,0.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,"1,020.00"
32772,URBAN PETS / MOTERA,105,Manufacturer,,Heart Small Spoiled Rotten,123,Active,202.50,2,405.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,530.00
32772,URBAN PETS / MOTERA,106,Manufacturer,,Heart Small Diva,123,Active,202.50,2,405.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,530.00
32772,URBAN PETS / MOTERA,107,Manufacturer,,Small Heart Red Tag,123,Active,99.00,0,0.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,500.00
32772,URBAN PETS / MOTERA,108,Manufacturer,,Small Heart Black Tag,123,Active,99.00,0,0.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,500.00
32772,URBAN PETS / MOTERA,109,Manufacturer,,Large Bone Red Tag,123,Active,99.00,3,297.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,500.00
32772,URBAN PETS / MOTERA,110,Manufacturer,,Large Bone Blue Tag,123,Active,99.00,2,198.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,500.00
32772,URBAN PETS / MOTERA,111,Manufacturer,,Large Bone Mustard Tag,123,Active,99.00,5,495.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,500.00
32772,URBAN PETS / MOTERA,112,Manufacturer,,Large Bone Black Tag,123,Active,99.00,4,396.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,500.00
32772,URBAN PETS / MOTERA,115,Manufacturer,,Large Bone USA Flag Tag,123,Active,445.03,7,"3,115.21",OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,750.00
32772,URBAN PETS / MOTERA,116,Manufacturer,,Large Bone Leopard Print Tag,123,Active,225.00,1,225.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,750.00
32772,URBAN PETS / MOTERA,117,Manufacturer,,Small Circle Chrome Tag,123,Active,148.50,0,0.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,650.00
32772,URBAN PETS / MOTERA,118,Manufacturer,,Small Circle Gold Tag,123,Active,202.50,0,0.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,750.00
32772,URBAN PETS / MOTERA,119,Manufacturer,,Military Tag Green Camourflage Tag,123,Active,374.95,5,"1,874.75",OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,780.00
32772,URBAN PETS / MOTERA,120,Manufacturer,,Small Heart Purple Tag,123,Active,89.10,0,0.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,500.00
32772,URBAN PETS / MOTERA,121,Manufacturer,,Large Bone Bright Purple Anodized Tag,123,Active,140.00,0,0.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,650.00
32772,URBAN PETS / MOTERA,123,Manufacturer,,Large Bone Neon Swirls Tag,123,Active,345.01,5,"1,725.05",OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,750.00
32772,URBAN PETS / MOTERA,124,Manufacturer,,Bone Rainbow Tag,123,Active,283.50,0,0.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,"1,000.00"
32772,URBAN PETS / MOTERA,126,Manufacturer,,Diva Large Bone Grey Pink Stones Tag,123,Active,325.00,0,0.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,"1,000.00"
32772,URBAN PETS / MOTERA,127,Manufacturer,,Bone Epoxy Fill Black Bone,123,Active,650.14,7,"4,550.98",OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,"1,200.00"
32772,URBAN PETS / MOTERA,128,Manufacturer,,Large Circle Red Tag,123,Active,99.00,7,693.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,500.00
32772,URBAN PETS / MOTERA,129,Manufacturer,,Large Circle Blue Tag,123,Active,99.00,8,792.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,500.00
32772,URBAN PETS / MOTERA,130,Manufacturer,,Large Circle Black Tag,123,Active,99.00,5,495.00,OP1,,243,Accessories,291,Name Tag & Bell ,1,Manufacturer,,83100090,OP1,,,500.00
