Damage No,Branch Name,Date,Total Qty,Total Cost,Wastage Type
83,URBAN PETS / MOTERA,2026-08-13,2,3899.9944,Damage
82,URBAN PETS / MOTERA,2026-08-07,6,5991.804,Wastage
81,URBAN PETS / MOTERA,2026-08-05,2,138.6028,Wastage
80,URBAN PETS / MOTERA,2026-08-05,1,1298,Wastage
79,URBAN PETS / MOTERA,2026-08-05,1,929.4034,Wastage
78,URBAN PETS / MOTERA,2026-07-28,1,2796.6016,Wastage
77,URBAN PETS / MOTERA,2026-07-28,2,3963.33,Damage
76,URBAN PETS / MOTERA,2026-07-25,1,1823.1,Damage
75,URBAN PETS / MOTERA,2026-07-03,5,1364.375,Wastage
74,URBAN PETS / MOTERA,2026-07-03,19,5168.9192,Wastage
73,URBAN PETS / MOTERA,2026-06-25,1,986.3974,Wastage
72,URBAN PETS / MOTERA,2026-06-17,5,2809.521,Wastage
71,URBAN PETS / MOTERA,2026-06-06,37,3230.84,Wastage
70,URBAN PETS / MOTERA,2026-06-04,1,854.5914,Wastage
69,URBAN PETS / MOTERA,2026-06-03,2,180.0208,Wastage
68,URBAN PETS / MOTERA,2026-06-03,8,900.0096,Wastage
67,URBAN PETS / MOTERA,2026-05-26,6,19178.9058,Wastage
66,URBAN PETS / MOTERA,2026-05-12,1,2250.5,Wastage
65,URBAN PETS / MOTERA,2026-05-09,3,8197.26,Wastage
64,URBAN PETS / MOTERA,2026-05-08,2,254.24,Wastage
63,URBAN PETS / MOTERA,2026-05-07,46,7403.38,Wastage
62,URBAN PETS / MOTERA,2026-05-07,43,7838.96,Wastage
61,URBAN PETS / MOTERA,2026-05-07,8,1071.18,Wastage
60,URBAN PETS / MOTERA,2026-04-18,2,457.71,Damage
59,URBAN PETS / MOTERA,2026-04-14,4,1935.04,Wastage
58,URBAN PETS / MOTERA,2026-03-24,1,1578.8636,Damage
57,URBAN PETS / MOTERA,2026-03-21,1,8114.388,Damage
56,URBAN PETS / MOTERA,2026-03-17,2,3120.1324,Damage
55,URBAN PETS / MOTERA,2026-03-17,17,4743.9068,Damage
54,URBAN PETS / MOTERA,2026-02-04,1,126.567,Damage
53,URBAN PETS / MOTERA,2026-01-31,335,85106.1952,Wastage
50,URBAN PETS / MOTERA,2025-12-20,2,29999.9896,Damage
49,URBAN PETS / MOTERA,2025-12-03,1,229.509,Damage
48,URBAN PETS / MOTERA,2025-12-03,1,2698.9904,Damage
47,URBAN PETS / MOTERA,2025-11-06,1,2498.9922,Wastage
46,URBAN PETS / MOTERA,2025-10-28,128,60386.449,Damage
45,URBAN PETS / MOTERA,2025-03-31,1,38232,Wastage
44,URBAN PETS / MOTERA,2025-03-31,3,8159.9832,Wastage
43,URBAN PETS / MOTERA,2025-03-31,3,8159.9832,Wastage
42,URBAN PETS / MOTERA,2025-03-31,27,94776.0424,Wastage
41,URBAN PETS / MOTERA,2025-03-31,9,45559.8,Wastage
14,URBAN PETS / MOTERA,2024-03-02,62,34233.3812,Wastage
13,URBAN PETS / MOTERA,2024-03-01,81,40193.75,Damage
12,URBAN PETS / MOTERA,2024-03-01,32,13333.1722,Wastage
52,URBANPETS SERVICES PRIVATE LIMITED,2026-01-31,152,42010.9438,Wastage
51,URBANPETS SERVICES PRIVATE LIMITED,2026-01-31,143,28131.1414,Damage
40,URBANPETS SERVICES PRIVATE LIMITED,2025-01-28,19,13491.8588,Wastage
39,URBANPETS SERVICES PRIVATE LIMITED,2025-01-28,814,41554.3744,Damage
38,URBANPETS SERVICES PRIVATE LIMITED,2025-01-27,120,3435.357,Damage
