Damage No,Branch Name,Date,Item Code,Item Name,Exp Dt,Qty,Cost Price,Selling Price,MRP,GST %,GST taxAmt,Net Amt,Wastage Type
83,URBAN PETS / MOTERA,2026-08-13,297,Metal Cage 30 Inch,,2.000,1652.54,3900.00,3900.00,18,594.92,3899.99,Damage
82,URBAN PETS / MOTERA,2026-08-07,11030,Royal Canin Hair and Skin 1.2 KG,2028-10-30,3.000,823.11,1368.00,1368.00,18,444.48,2913.81,Wastage
82,URBAN PETS / MOTERA,2026-08-07,11030,Royal Canin Hair and Skin 1.2 KG,2028-10-30,3.000,869.49,1368.00,1368.00,18,469.52,3077.99,Wastage
81,URBAN PETS / MOTERA,2026-08-05,9665,Vet-Pro Gastro Gravy 150gm,2028-05-30,2.000,58.73,99.00,99.00,18,21.14,138.60,Wastage
80,URBAN PETS / MOTERA,2026-08-05,5963,Vet-Pro Adult 12 KG,2099-12-12,1.000,1100.00,2800.00,2800.00,18,198.00,1298.00,Wastage
79,URBAN PETS / MOTERA,2026-08-05,2207,Vet-Pro Renal 3KG,2027-03-03,1.000,787.62,1549.00,1549.00,18,141.78,929.40,Wastage
78,URBAN PETS / MOTERA,2026-07-28,11571,Forcans long coat Shampoo 4 litres,2028-05-30,1.000,2663.42,3950.00,3950.00,5,133.18,2796.60,Wastage
77,URBAN PETS / MOTERA,2026-07-28,10388,lozalo volumizing shampoo 5 ltre,2029-08-30,2.000,1887.30,4003.00,4003.00,5,188.74,3963.33,Damage
76,URBAN PETS / MOTERA,2026-07-25,5977,Vet Pro renal 8kg,2099-12-12,1.000,1545.00,3699.00,3699.00,18,278.10,1823.10,Damage
75,URBAN PETS / MOTERA,2026-07-03,11285,HUFT Saras Wholesome Grain-Free Lamb and Apple Dog Wet Food - 300gm,2026-02-18,5.000,231.25,389.00,389.00,18,208.12,1364.38,Wastage
74,URBAN PETS / MOTERA,2026-07-03,11469,huft saras wholesome flavours of india chicken biryani dog wet food - 300 gm,2026-03-20,2.000,182.44,299.00,299.00,18,65.68,430.56,Wastage
74,URBAN PETS / MOTERA,2026-07-03,11285,HUFT Saras Wholesome Grain-Free Lamb and Apple Dog Wet Food - 300gm,2026-08-30,2.000,215.20,379.00,379.00,18,77.46,507.85,Wastage
