"Purchase Summary 
 DATE : from 01-04-2024 14-09-2026 ; Stock Class : Trade , Inv Date Type : Invoice Date , Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
View,Branch prefix,Branch No,GRN No,GRN date,Po no,Supplier Name,Supplier Bill No,Supplier Bill Date,Bill amount,Cash discount %,Cash disc. Amount,Manual discount,Tax amount,Freight charges,Rounded off,GRN amount,Local Purchase amount,Advice No,GRN type,TCS Amt,SAP del No,Status,Branch ID,SAP del date,Branch Name,SAP Grn No,Counter,Total Litres,Rebate Amt,Supplier shipping name,CDIS Amt,Other Disc Amt,Service tax %,Service tax amt,Addl. Tax amount,Addl. Edu cess %,Addl. Edu cess amount,Edu cess %,Edu cess amount,Excise duty %,Excise duty amount,Cvd%,Cvd_amt,Custum_duty,Stamp duty,Seq. no.,Total items,Other Charges,GST Cess Amt,CGST TaxAmt,GST TaxAmt,IGST TaxAmt,SGST TaxAmt
,,,,,,,,,"202,879,281.45",,"1,491,766.09",,,"2,498.13","-12,752.98","202,892,873.57","202,892,873.57",,,"5,163.87",,,,,,,,,,,,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,0.00,0.00,,,0.00,0.00,"12,298,798.72","29,300,929.87","4,703,332.43","12,298,798.72"
,LN,1109,2285,2025-06-24,0,INTERVET INDIA PVT LTD,G02511001326,2025-06-24,"129,619.00",2,"2,361.86",0,0.00,0.00,0.05,"129,619.00","129,619.00",0,CR,0.00,0,Purchased,225,2025-06-26,URBANPETS SERVICES PRIVATE LIMITED,0,CO-225,0.00,0.00,,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,100,0.00,0.00,"6,943.88","13,887.76",0.00,"6,943.88"
,LN,1184,2442,2025-07-28,0,INTERVET INDIA PVT LTD,G02511001958,2025-07-28,"161,273.00",2,"2,938.64",0,0.00,0.00,0.68,"161,273.00","161,273.00",0,CR,0.00,0,Purchased,225,2025-07-29,URBANPETS SERVICES PRIVATE LIMITED,0,CO-225,0.00,0.00,,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,120,0.00,0.00,"8,639.59","17,279.18",0.00,"8,639.59"
,LN,1318,2761,2025-09-24,0,INTERVET INDIA PVT LTD,G02511003106,2025-09-24,"211,588.00",2,"4,112.49",0,0.00,0.00,0.22,"211,588.00","211,588.00",0,CR,0.00,0,Purchased,225,2025-09-30,URBANPETS SERVICES PRIVATE LIMITED,0,CO-225,0.00,0.00,,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,170,0.00,0.00,"5,037.81","10,075.62",0.00,"5,037.81"
,LN,1415,2972,2025-11-14,0,INTERVET INDIA PVT LTD,G02511004076,2025-11-14,"68,968.00",2,"1,340.49",0,0.00,0.00,-0.10,"68,968.00","68,968.00",0,CR,0.00,0,Purchased,225,2025-11-19,URBANPETS SERVICES PRIVATE LIMITED,0,CO-225,0.00,0.00,,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,50,0.00,0.00,"1,642.10","3,284.20",0.00,"1,642.10"
,LN,1536,3220,2026-01-06,0,INTERVET INDIA PVT LTD,G02501000181,2026-01-06,"174,477.00",2,"3,391.21",0,0.00,0.00,-0.53,"174,477.00","174,477.00",0,CR,0.00,0,Purchased,225,2026-01-09,URBANPETS SERVICES PRIVATE LIMITED,0,CO-225,0.00,0.00,,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,140,0.00,0.00,"4,154.23","8,308.46",0.00,"4,154.23"
,LN,1573,3293,2026-01-20,0,INTERVET INDIA PVT LTD,G02501000423,2026-01-20,0.00,0,0.00,0,0.00,0.00,-0.69,0.00,0.00,0,CR,0.00,0,Purchased,225,2026-01-28,URBANPETS SERVICES PRIVATE LIMITED,0,CO-225,0.00,0.00,,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,66,0.00,0.00,0.02,0.04,0.00,0.02
,LN,363,661,2024-05-06,0,Baroda Pharmacy,T34,2024-05-06,"7,076.00",0,0.00,0,0.00,0.00,0.39,"7,076.00","7,076.00",0,CR,0.00,0,Purchased,32772,2024-05-11,URBAN PETS / MOTERA,0,CO-32772,0.00,0.00,,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,6,0.00,0.00,539.67,"1,079.34",0.00,539.67
,LN,410,756,2024-06-07,0,Baroda Pharmacy,T60,2024-06-07,"7,076.00",0,0.00,0,0.00,0.00,0.39,"7,076.00","7,076.00",0,CR,0.00,0,Purchased,32772,2024-06-08,URBAN PETS / MOTERA,0,CO-32772,0.00,0.00,,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,6,0.00,0.00,539.67,"1,079.34",0.00,539.67
