"Purchase Order Detail 
 DATE : from 01-04-2024 14-09-2026 ; Stock Class : Trade , Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
BRANDS,DEPARTMENT,CATEGORY,Branch ID,Branch Name,Branch prefix,PO date,Till sequence,Po no,S.no,Supplier Name,Address1,Address2,Item name,Order Qty,Free Qty,Billed qty.,Cancelled Qty,Basic cost,Net cost,Net margin %,Selling,MRP,Tax,Tax amount,Discount %,Disc. Amount,Cash disc. Amount,Freight,Order amount,Status,Supplier shipping name,Pending Qty,Addl. Tax %,Alias Name,Addl. Tax amount,Dual Service Ratio,Dual Vat Ratio,Service goods value,Dual Service Tax%,Dual Service Amt,Tax Goods Value,Addl. Edu cess %,Addl. Edu cess amount,Edu cess %,Edu cess amount,Excise duty %,Excise duty amount,Conversion unit,Customer ship code,GST Cess Amt,GST Cess Perc,CGST TaxAmt,CGST Perc,Customer ship name,GST TaxAmt,GST Perc,IGST TaxAmt,IGST Perc,SGST TaxAmt,SGST Perc,Expiry Status,Business Type,State,Short name
,,,,,,,,,,,,,,822,0,0,2,,,,,,,0.00,,"25,209.37",0.00,0.00,"199,845.64",,,820,,,0.00,,,0.00,,0.00,"169,619.27",,0.00,,0.00,,0.00,,,0.00,0.00,394.16,9.00,,"30,226.37",807.00,"29,438.06",789.00,394.16,9.00,,,,
ABK,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-08-26,1,2,3,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,milky chew goat milk sticks 500 gm,12,0,0,0,372.42,439.46,0,799.00,799.00,0,0.00,0,0.00,0.00,0.00,"5,273.47",Pending,,12,0,,0.00,0,0,0.00,0,0.00,"4,469.04",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,804.43,18.00,804.43,18.00,0.00,0.00,Expired,BRANCH,Gujarat,
ABK,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-08-26,1,2,4,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,milky chew goat milk mini bones 500 gm,6,0,0,0,372.42,439.46,0,799.00,799.00,0,0.00,0,0.00,0.00,0.00,"2,636.73",Pending,,6,0,,0.00,0,0,0.00,0,0.00,"2,234.52",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,402.21,18.00,402.21,18.00,0.00,0.00,Expired,BRANCH,Gujarat,
Cataholic,Cat Food,Treats  ,32772,URBAN PETS / MOTERA,LN,2026-08-26,1,2,20,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Cataholic Spiral Soft Chicken and Sunfish 50gm,6,0,0,0,104.87,123.75,0,225.00,225.00,0,0.00,0,0.00,0.00,0.00,742.48,Pending,,6,0,,0.00,0,0,0.00,0,0.00,629.22,0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,113.26,18.00,113.26,18.00,0.00,0.00,Expired,BRANCH,Gujarat,
Chip Chops,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-09-03,2,3,13,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Chip Chops Barbeque Hearts 70g,14,0,0,0,104.87,103.12,0,225.00,225.00,0,0.00,17,244.75,0.00,0.00,"1,443.65",Pending,,14,0,,0.00,0,0,0.00,0,0.00,"1,223.43",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,220.22,18.00,220.22,18.00,0.00,0.00,Expired,BRANCH,Gujarat,Chip 
Chip Chops,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-09-03,2,3,3,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Chip Chops Chicken and Codfish Sandwich 250gm,42,0,0,0,321.61,316.24,0,690.00,690.00,0,0.00,17,"2,251.72",0.00,0.00,"13,281.96",Pending,,42,0,,0.00,0,0,0.00,0,0.00,"11,255.90",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,"2,026.06",18.00,"2,026.06",18.00,0.00,0.00,Expired,BRANCH,Gujarat,Chip 
Chip Chops,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-09-03,2,3,2,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Chip Chops Biscuits Twined With Chicken 250gm,12,0,0,0,321.61,316.24,0,660.00,660.00,0,0.00,17,643.35,0.00,0.00,"3,794.84",Pending,,12,0,,0.00,0,0,0.00,0,0.00,"3,215.97",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,578.87,18.00,578.87,18.00,0.00,0.00,Expired,BRANCH,Gujarat,
Chip Chops,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-09-03,2,3,1,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Chip Chops Chicken and Codfish Rolls 250G,24,0,0,0,321.61,316.24,0,690.00,690.00,0,0.00,17,"1,286.70",0.00,0.00,"7,589.69",Pending,,24,0,,0.00,0,0,0.00,0,0.00,"6,431.94",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,"1,157.75",18.00,"1,157.75",18.00,0.00,0.00,Expired,BRANCH,Gujarat,Chip 
Chip Chops,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-09-03,2,3,4,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Chip Chops Chicken Chips Coins 250G,42,0,0,0,321.61,316.24,0,690.00,690.00,0,0.00,17,"2,251.72",0.00,0.00,"13,281.96",Pending,,42,0,,0.00,0,0,0.00,0,0.00,"11,255.90",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,"2,026.06",18.00,"2,026.06",18.00,0.00,0.00,Expired,BRANCH,Gujarat,Chip 
