"Purchase Return Summary 
 DATE : from 01-04-2024 14-09-2026 ; Stock Class : Trade , Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
View,PR No,Branch No,PR date,PR amount,Code,Supplier Name,Reason,Gross amount,Tax amount,Item discount,LR No,Addl. Edu cess %,LR Date,Bill discount amount,Freight,Branch ID,Branch Name,Branch prefix,Rounded off,Service tax amt,Addl. Tax amount,Addl. Edu cess amount,Edu cess amount,GST Cess Amt,CGST TaxAmt,GST TaxAmt,IGST TaxAmt,SGST TaxAmt,Currency,ERP code
,,,,"868,546.10",,,,"868,349.49",0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,"42,777.04","121,340.20","35,786.12","42,777.04",,
,8,6,2024-04-03,"4,870.80",32713,AREION VET,.,"4,870.80",0.00,0.00,0,0,2024-04-03,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,INDIAN RUPEE,urbanpets
,9,7,2024-05-01,"2,080.00",32850,MAHIMA ENTERPRISE,Monika Padhiyar,"2,080.00",0.00,0.00,0,0,2024-05-01,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,158.64,317.28,0.00,158.64,INDIAN RUPEE,urbanpets
,10,8,2024-05-01,"1,710.17",32850,MAHIMA ENTERPRISE,Monika Padhiyar ,"1,710.17",0.00,0.00,0,0,2024-05-01,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,91.62,183.24,0.00,91.62,INDIAN RUPEE,urbanpets
,12,7,2024-08-08,"36,288.00",32846,MAHIMA SALES,Monika Padiyar,"36,287.97",0.00,"1,281.36",0,0,2024-08-08,0.00,0.00,32772,URBAN PETS / MOTERA,LN,0.03,0.00,0.00,0.00,0.00,0.00,"2,767.73","5,535.46",0.00,"2,767.73",INDIAN RUPEE,
,13,8,2024-08-08,"17,103.00",32856,FRIENDS PHARMA,Monika ,"17,103.16",0.00,0.00,0,0,2024-08-08,0.00,0.00,32772,URBAN PETS / MOTERA,LN,-0.16,0.00,0.00,0.00,0.00,0.00,"1,304.48","2,608.96",0.00,"1,304.48",INDIAN RUPEE,
,14,9,2024-09-28,"28,017.00",32849,BEESPOT BRANDS PVT LTD,monika Padiyar,"28,016.87",0.00,"2,128.47",0,3,2024-10-16,734.32,0.00,32772,URBAN PETS / MOTERA,LN,0.13,0.00,0.00,0.00,0.00,0.00,"2,136.88","4,273.76",0.00,"2,136.88",INDIAN RUPEE,
,15,9,2024-12-03,"5,969.00",32846,MAHIMA SALES,monika Padiyar,"5,968.79",0.00,210.76,0,0,2024-12-16,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.21,0.00,0.00,0.00,0.00,0.00,455.25,910.50,0.00,455.25,INDIAN RUPEE,urbanpets
,16,10,2024-12-28,"16,328.00",32651,Orange Pet Nutrition Pvt Ltd,dhruvi ,"16,328.00",0.00,0.00,0,0,2024-12-28,0.00,0.00,32772,URBAN PETS / MOTERA,LN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,490.71","2,490.71",0.00,INDIAN RUPEE,
